Taxon,Group,Plot,NumberOfSpecies,Abundance,TotalNumberOfSpecies
Lichens,producer,T4_52,7,12,151
Lichens,producer,T4_53,7,15,151
Lichens,producer,T4_54,8,11,151
Lichens,producer,T4_59,8,9,151
Lichens,producer,T4_7,3,5,151
Lichens,producer,T4_70,17,36,151
Lichens,producer,T4_72,0,0,151
Lichens,producer,T4_73,11,33,151
Lichens,producer,T4_76,18,44,151
Lichens,producer,T4_78,4,4,151
Lichens,producer,T4_79,9,18,151
Lichens,producer,T4_80,15,32,151
Lichens,producer,T4_81,13,16,151
Lichens,producer,T4_82,11,12,151
Lichens,producer,T4_83,11,27,151
Lichens,producer,TS_1,8,24,151
Lichens,producer,TS_2,16,28,151
Lichens,producer,TS_3,12,15,151
Lichens,producer,TS_4,23,58,151
Lichens,producer,TS_5,18,43,151
Mosses,producer,T1_27,11,18,115
Mosses,producer,T1_3,10,13,115
Mosses,producer,T1_30,9,18,115
Mosses,producer,T1_39,17,23,115
Mosses,producer,T1_4,23,45,115
Mosses,producer,T1_49,19,35,115
Mosses,producer,T1_51,12,24,115
Mosses,producer,T1_52,5,10,115
Mosses,producer,T1_53,11,15,115
Mosses,producer,T1_55,23,33,115
Mosses,producer,T1_56,12,24,115
Mosses,producer,T1_58,10,12,115
Mosses,producer,T1_59,9,15,115
Mosses,producer,T1_60,10,15,115
Mosses,producer,T1_61,8,12,115
Mosses,producer,T1_62,5,7,115
Mosses,producer,T1_63,6,6,115
Mosses,producer,T1_64,2,4,115
Mosses,producer,T1_65,7,16,115
Mosses,producer,T1_66,9,19,115
Mosses,producer,T1_9,5,10,115
Mosses,producer,T2_1,0,0,115
Mosses,producer,T2_2,11,21,115
Mosses,producer,T2_23,18,91,115
Mosses,producer,T2_25,19,30,115
Mosses,producer,T2_27,23,29,115
Mosses,producer,T2_3,7,14,115
Mosses,producer,T2_35,7,38,115
Mosses,producer,T2_36,17,50,115
Mosses,producer,T2_38,16,75,115
Mosses,producer,T2_39,0,0,115
Mosses,producer,T2_41,17,50,115
Mosses,producer,T2_44,13,26,115
Mosses,producer,T2_48,28,83,115
Mosses,producer,T2_50,25,61,115
Mosses,producer,T2_52,14,46,115
Mosses,producer,T2_53,19,77,115
Mosses,producer,T2_54,14,47,115
Mosses,producer,T2_61,0,0,115
Mosses,producer,T2_67,25,60,115
Mosses,producer,T2_69,31,100,115
Mosses,producer,T2_73,23,58,115
Mosses,producer,T2_75,18,32,115
Mosses,producer,T2_79,18,37,115
Mosses,producer,T2_81,22,45,115
Mosses,producer,T2_9,7,15,115
Mosses,producer,T3_1,11,19,115
Mosses,producer,T3_12,15,25,115
Mosses,producer,T3_17,10,20,115
Mosses,producer,T3_22,7,10,115
Mosses,producer,T3_23,9,17,115
Mosses,producer,T3_25,6,13,115
Mosses,producer,T3_26,7,11,115
Mosses,producer,T3_27,6,10,115
Mosses,producer,T3_28,7,22,115
Mosses,producer,T3_29,9,15,115
Mosses,producer,T3_3,11,21,115
Mosses,producer,T3_30,6,8,115
Mosses,producer,T3_31,4,5,115
Mosses,producer,T3_33,8,13,115
Mosses,producer,T3_36,10,23,115
Mosses,producer,T3_37,7,12,115
Mosses,producer,T3_45,12,29,115
Mosses,producer,T3_48,9,25,115
Mosses,producer,T3_49,7,16,115
Mosses,producer,T3_52,7,9,115
Mosses,producer,T3_53,8,14,115
Mosses,producer,T3_55,9,14,115
Mosses,producer,T3_57,3,8,115
Mosses,producer,T3_9,12,17,115
Mosses,producer,T4_14,10,17,115
Mosses,producer,T4_20,13,22,115
Mosses,producer,T4_21,10,17,115
Mosses,producer,T4_22,9,17,115
Mosses,producer,T4_24,16,19,115
Mosses,producer,T4_27,15,32,115
Mosses,producer,T4_28,21,36,115
Mosses,producer,T4_29,13,25,115
Mosses,producer,T4_35,25,49,115
Mosses,producer,T4_36,33,89,115
Mosses,producer,T4_37,11,15,115
Mosses,producer,T4_38,24,58,115
Mosses,producer,T4_39,9,16,115
Mosses,producer,T4_4,10,18,115
Mosses,producer,T4_40,8,18,115
Mosses,producer,T4_41,13,21,115
Mosses,producer,T4_42,8,17,115
Mosses,producer,T4_43,11,20,115
Mosses,producer,T4_44,7,15,115
Mosses,producer,T4_47,17,25,115
Mosses,producer,T4_48,1,4,115
Mosses,producer,T4_49,9,21,115
Mosses,producer,T4_5,3,3,115
Mosses,producer,T4_51,9,15,115
Mosses,producer,T4_52,0,0,115
Mosses,producer,T4_53,6,9,115
Mosses,producer,T4_54,9,17,115
Mosses,producer,T4_59,9,13,115
Mosses,producer,T4_7,12,19,115
Mosses,producer,T4_70,10,27,115
Mosses,producer,T4_72,6,12,115
Mosses,producer,T4_73,0,0,115
Mosses,producer,T4_76,4,7,115
Mosses,producer,T4_78,11,17,115
Mosses,producer,T4_79,11,20,115
Mosses,producer,T4_80,9,10,115
Mosses,producer,T4_81,12,26,115
Mosses,producer,T4_82,11,14,115
Mosses,producer,T4_83,10,17,115
Mosses,producer,TS_1,25,78,115
Mosses,producer,TS_2,16,65,115
Mosses,producer,TS_3,20,46,115
Mosses,producer,TS_4,34,109,115
Mosses,producer,TS_5,21,48,115
Plants,producer,T1_1,7,9.5,181
Plants,producer,T1_10,0,0,181
Plants,producer,T1_11,4,6.5,181
Plants,producer,T1_12,14,61,181
Plants,producer,T1_13,14,79,181
Plants,producer,T1_14,23,136,181
Plants,producer,T1_15,8,10,181
Plants,producer,T1_16,20,39,181
Plants,producer,T1_17,2,1,181
Plants,producer,T1_18,6,74,181
Plants,producer,T1_19,4,81.5,181
Plants,producer,T1_2,1,1,181
Plants,producer,T1_20,11,24,181
Plants,producer,T1_21,17,62,181
Plants,producer,T1_22,4,16,181
Plants,producer,T1_23,3,3,181
Plants,producer,T1_24,3,1.5,181
Plants,producer,T1_25,1,0.5,181
Plants,producer,T1_26,2,1.5,181
Plants,producer,T1_27,17,108,181
Plants,producer,T1_28,21,126.5,181
Plants,producer,T1_29,10,86,181
Plants,producer,T1_3,14,215,181
Plants,producer,T1_30,11,46,181
Plants,producer,T1_31,17,55.5,181
Plants,producer,T1_32,11,81,181
Plants,producer,T1_33,5,111.5,181
Plants,producer,T1_34,3,123,181
Plants,producer,T1_35,7,58.5,181
Plants,producer,T1_36,6,47,181
Plants,producer,T1_37,8,110,181
Plants,producer,T1_38,19,83,181
Plants,producer,T1_39,18,99,181
Plants,producer,T1_4,18,152,181
Plants,producer,T1_40,22,85,181
Plants,producer,T1_41,11,61,181
Plants,producer,T1_42,5,9,181
Plants,producer,T1_43,2,1.5,181
Plants,producer,T1_44,21,38,181
Plants,producer,T1_45,8,12,181
Plants,producer,T1_46,31,117.5,181
Plants,producer,T1_47,25,139,181
Plants,producer,T1_48,36,129,181
Plants,producer,T1_49,17,56,181
Plants,producer,T1_5,5,53,181
Plants,producer,T1_50,15,39,181
Plants,producer,T1_51,27,61.5,181
Plants,producer,T1_52,34,124.5,181
Plants,producer,T1_53,21,64,181
Plants,producer,T1_54,6,15.5,181
Plants,producer,T1_55,13,39,181
Plants,producer,T1_56,10,29,181
Plants,producer,T1_57,9,29.5,181
Plants,producer,T1_58,17,32,181
Plants,producer,T1_59,13,95.5,181
Plants,producer,T1_6,5,8,181
Plants,producer,T1_60,14,101.5,181
Plants,producer,T1_61,6,89,181
Plants,producer,T1_62,7,104.5,181
Plants,producer,T1_63,19,89.5,181
Plants,producer,T1_64,8,109,181
Plants,producer,T1_65,18,127,181
Plants,producer,T1_66,14,150,181
Plants,producer,T1_7,21,124.5,181
Plants,producer,T1_8,17,217.5,181
Plants,producer,T1_9,29,205.5,181
Plants,producer,T2_1,4,2,181
Plants,producer,T2_10,6,3,181
Plants,producer,T2_11,3,3.5,181
Plants,producer,T2_12,3,2,181
Plants,producer,T2_13,2,1,181
Plants,producer,T2_14,3,1.5,181
Plants,producer,T2_15,16,90,181
Plants,producer,T2_16,6,25,181
Plants,producer,T2_17,24,123.5,181
Plants,producer,T2_18,1,0.5,181
Plants,producer,T2_19,3,1.5,181
Plants,producer,T2_2,9,4.5,181
Plants,producer,T2_20,10,5,181
Plants,producer,T2_21,18,17,181
Plants,producer,T2_22,6,34,181
Plants,producer,T2_23,6,8.5,181
Plants,producer,T2_24,7,83,181
Plants,producer,T2_25,8,87,181
Plants,producer,T2_26,16,67,181
Plants,producer,T2_27,20,136.5,181
Plants,producer,T2_28,11,45.5,181
Plants,producer,T2_29,43,33,181
Plants,producer,T2_3,8,4,181
Plants,producer,T2_30,5,3.5,181
Plants,producer,T2_31,10,17,181
Plants,producer,T2_32,27,172.5,181
Plants,producer,T2_33,19,67,181
Plants,producer,T2_34,1,0.5,181
Plants,producer,T2_35,15,32,181
Plants,producer,T2_36,12,118.5,181
Plants,producer,T2_37,33,30,181
Plants,producer,T2_38,4,3.5,181
Plants,producer,T2_39,3,15.5,181
Plants,producer,T2_4,2,1,181
Plants,producer,T2_40,6,15,181
Plants,producer,T2_41,6,75,181
Plants,producer,T2_42,11,109,181
Plants,producer,T2_43,16,96,181
Plants,producer,T2_44,6,37,181
Plants,producer,T2_45,4,4,181
Plants,producer,T2_46,17,72.5,181
Plants,producer,T2_47,6,90.5,181
Plants,producer,T2_48,15,167,181
Plants,producer,T2_49,10,118.5,181
Plants,producer,T2_5,2,1,181
Plants,producer,T2_50,9,23,181
Plants,producer,T2_51,1,0.5,181
Plants,producer,T2_52,5,15,181
Plants,producer,T2_53,13,88.5,181
Plants,producer,T2_54,7,30,181
Plants,producer,T2_55,9,62,181
Plants,producer,T2_56,5,122.5,181
Plants,producer,T2_57,8,159,181
Plants,producer,T2_58,7,159,181
Plants,producer,T2_59,8,132,181
Plants,producer,T2_6,2,1,181
Plants,producer,T2_60,9,151,181
Plants,producer,T2_61,6,160.5,181
Plants,producer,T2_62,22,136.5,181
Plants,producer,T2_63,16,155,181
Plants,producer,T2_64,11,125,181
Plants,producer,T2_65,9,137,181
Plants,producer,T2_66,12,145,181
Plants,producer,T2_67,7,170,181
Plants,producer,T2_68,12,172,181
Plants,producer,T2_69,18,140,181
Plants,producer,T2_7,14,49,181
Plants,producer,T2_70,10,199,181
Plants,producer,T2_71,9,220,181
Plants,producer,T2_72,12,188.5,181
Plants,producer,T2_73,8,285.5,181
Plants,producer,T2_74,10,160.5,181
Plants,producer,T2_75,11,189.5,181
Plants,producer,T2_76,10,188,181
Plants,producer,T2_77,9,177,181
Plants,producer,T2_78,9,132,181
Plants,producer,T2_79,11,155,181
Plants,producer,T2_8,10,5,181
Plants,producer,T2_80,11,188.5,181
Plants,producer,T2_81,12,164,181
Plants,producer,T2_9,13,7.5,181
Plants,producer,T3_1,12,65.5,181
Plants,producer,T3_10,17,17.5,181
Plants,producer,T3_11,10,5,181
Plants,producer,T3_12,7,3.5,181
Plants,producer,T3_13,6,24,181
Plants,producer,T3_14,18,33.5,181
Plants,producer,T3_15,32,18.5,181
Plants,producer,T3_16,8,24,181
Plants,producer,T3_17,27,206,181
Plants,producer,T3_18,8,43,181
Plants,producer,T3_19,7,52.5,181
Plants,producer,T3_2,10,16,181
Plants,producer,T3_20,11,35,181
Plants,producer,T3_21,25,108.5,181
Plants,producer,T3_22,30,53,181
Plants,producer,T3_23,0,0,181
Plants,producer,T3_24,2,1,181
Plants,producer,T3_25,4,2,181
Plants,producer,T3_26,7,3.5,181
Plants,producer,T3_27,5,7,181
Plants,producer,T3_28,7,74.5,181
Plants,producer,T3_29,6,23,181
Plants,producer,T3_3,12,6,181
Plants,producer,T3_30,3,51,181
Plants,producer,T3_31,5,32,181
Plants,producer,T3_32,6,32.5,181
Plants,producer,T3_33,12,72,181
Plants,producer,T3_36,5,2.5,181
Plants,producer,T3_37,4,2,181
Plants,producer,T3_38,9,4.5,181
Plants,producer,T3_39,10,7.5,181
Plants,producer,T3_4,7,4,181
Plants,producer,T3_40,14,92,181
Plants,producer,T3_41,23,36.5,181
Plants,producer,T3_42,7,4,181
Plants,producer,T3_43,6,3,181
Plants,producer,T3_44,12,7,181
Plants,producer,T3_45,10,96,181
Plants,producer,T3_46,21,39.5,181
Plants,producer,T3_47,7,93.5,181
Plants,producer,T3_48,5,42,181
Plants,producer,T3_49,18,79.5,181
Plants,producer,T3_5,13,126.5,181
Plants,producer,T3_50,21,235,181
Plants,producer,T3_51,8,98.5,181
Plants,producer,T3_52,12,58.5,181
Plants,producer,T3_53,14,75,181
Plants,producer,T3_54,14,113,181
Plants,producer,T3_55,11,79.5,181
Plants,producer,T3_56,7,77,181
Plants,producer,T3_57,7,97.5,181
Plants,producer,T3_6,13,87,181
Plants,producer,T3_7,13,30.5,181
Plants,producer,T3_8,8,4,181
Plants,producer,T3_9,6,3,181
Plants,producer,T4_1,6,3,181
Plants,producer,T4_10,13,65.5,181
Plants,producer,T4_11,16,96.5,181
Plants,producer,T4_12,25,70.5,181
Plants,producer,T4_14,5,7,181
Plants,producer,T4_15,11,14.5,181
Plants,producer,T4_16,14,7,181
Plants,producer,T4_17,43,46.5,181
Plants,producer,T4_18,6,3,181
Plants,producer,T4_19,6,12,181
Plants,producer,T4_2,2,1,181
Plants,producer,T4_20,0,0,181
Plants,producer,T4_21,8,4,181
Plants,producer,T4_22,10,7.5,181
Plants,producer,T4_23,12,10.5,181
Plants,producer,T4_24,8,4,181
Plants,producer,T4_25,10,24.5,181
Plants,producer,T4_26,10,7,181
Plants,producer,T4_27,7,6,181
Plants,producer,T4_28,33,129,181
Plants,producer,T4_29,4,56,181
Plants,producer,T4_3,2,1,181
Plants,producer,T4_30,16,68,181
Plants,producer,T4_31,17,64,181
Plants,producer,T4_32,11,9,181
Plants,producer,T4_33,15,10.5,181
Plants,producer,T4_34,25,21.5,181
Plants,producer,T4_35,29,133.5,181
Plants,producer,T4_36,9,4.5,181
Plants,producer,T4_37,10,10,181
Plants,producer,T4_38,26,94.5,181
Plants,producer,T4_39,3,1.5,181
Plants,producer,T4_4,2,1,181
Plants,producer,T4_40,3,11,181
Plants,producer,T4_41,3,1.5,181
Plants,producer,T4_42,12,6,181
Plants,producer,T4_43,21,50.5,181
Plants,producer,T4_44,13,6.5,181
Plants,producer,T4_45,15,29,181
Plants,producer,T4_46,9,4.5,181
Plants,producer,T4_47,27,19,181
Plants,producer,T4_48,11,6,181
Plants,producer,T4_49,11,7,181
Plants,producer,T4_5,1,0.5,181
Plants,producer,T4_50,15,8.5,181
Plants,producer,T4_51,39,81,181
Plants,producer,T4_52,33,74.5,181
Plants,producer,T4_53,13,14.5,181
Plants,producer,T4_54,11,10,181
Plants,producer,T4_58,27,100.5,181
Plants,producer,T4_59,14,87.5,181
Plants,producer,T4_6,3,1.5,181
Plants,producer,T4_60,11,32.5,181
Plants,producer,T4_61,8,6,181
Plants,producer,T4_62,10,60,181
Plants,producer,T4_63,19,90,181
Plants,producer,T4_64,15,107.5,181
Plants,producer,T4_65,12,37,181
Plants,producer,T4_66,7,85,181
Plants,producer,T4_67,14,58,181
Plants,producer,T4_68,10,94,181
Plants,producer,T4_69,17,100.5,181
Plants,producer,T4_7,1,0.5,181
Plants,producer,T4_70,8,73.5,181
Plants,producer,T4_71,19,119.5,181
Plants,producer,T4_72,8,143.5,181
Plants,producer,T4_73,10,126.5,181
Plants,producer,T4_74,8,97.5,181
Plants,producer,T4_75,12,128,181
Plants,producer,T4_76,12,91.5,181
Plants,producer,T4_77,10,129.5,181
Plants,producer,T4_78,12,143.5,181
Plants,producer,T4_79,13,148,181
Plants,producer,T4_8,7,81,181
Plants,producer,T4_80,14,162.5,181
Plants,producer,T4_81,19,177,181
Plants,producer,T4_82,18,162,181
Plants,producer,T4_83,15,162,181
Plants,producer,T4_84,17,197.5,181
Plants,producer,T4_9,18,87,181
Plants,producer,TS_1,9,114,181
Plants,producer,TS_2,9,33.5,181
Plants,producer,TS_3,7,25.5,181
Plants,producer,TS_4,8,32.5,181
Plants,producer,TS_5,15,159,181
Beetles,saprotroph,T1_1,6,362,38
Beetles,saprotroph,T1_2,14,678,38
Beetles,saprotroph,T1_27,3,7,38
Beetles,saprotroph,T1_29,10,193,38
Beetles,saprotroph,T1_3,6,187,38
Beetles,saprotroph,T1_30,9,238,38
Beetles,saprotroph,T1_34,5,186,38
Beetles,saprotroph,T1_38,4,41,38
Beetles,saprotroph,T1_39,5,37,38
Beetles,saprotroph,T1_4,8,143,38
Beetles,saprotroph,T1_40,6,373,38
Beetles,saprotroph,T1_42,5,22,38
Beetles,saprotroph,T1_49,5,19,38
Beetles,saprotroph,T1_5,7,146,38
Beetles,saprotroph,T1_50,8,68,38
Beetles,saprotroph,T1_51,7,131,38
Beetles,saprotroph,T1_52,8,413,38
Beetles,saprotroph,T1_53,9,141,38
Beetles,saprotroph,T1_54,11,167,38
Beetles,saprotroph,T1_55,8,94,38
Beetles,saprotroph,T1_56,5,72,38
Beetles,saprotroph,T1_57,3,10,38
Beetles,saprotroph,T1_58,6,66,38
Beetles,saprotroph,T1_59,3,4,38
Beetles,saprotroph,T1_60,6,51,38
Beetles,saprotroph,T1_61,4,7,38
Beetles,saprotroph,T1_62,5,24,38
Beetles,saprotroph,T1_63,3,5,38
Beetles,saprotroph,T1_64,7,105,38
Beetles,saprotroph,T1_65,8,682,38
Beetles,saprotroph,T1_66,5,79,38
Beetles,saprotroph,T1_8,6,303,38
Beetles,saprotroph,T1_9,5,97,38
Beetles,saprotroph,T2_2,8,27,38
Beetles,saprotroph,T2_23,9,394,38
Beetles,saprotroph,T2_25,2,4,38
Beetles,saprotroph,T2_27,2,2,38
Beetles,saprotroph,T2_3,7,93,38
Beetles,saprotroph,T2_34,0,0,38
Beetles,saprotroph,T2_35,4,14,38
Beetles,saprotroph,T2_36,7,133,38
Beetles,saprotroph,T2_37,3,3,38
Beetles,saprotroph,T2_38,4,4,38
Beetles,saprotroph,T2_39,2,19,38
Beetles,saprotroph,T2_4,8,42,38
Beetles,saprotroph,T2_40,5,27,38
Beetles,saprotroph,T2_41,8,73,38
Beetles,saprotroph,T2_42,9,149,38
Beetles,saprotroph,T2_44,6,71,38
Beetles,saprotroph,T2_45,6,168,38
Beetles,saprotroph,T2_46,3,3,38
Beetles,saprotroph,T2_47,5,15,38
Beetles,saprotroph,T2_48,9,61,38
Beetles,saprotroph,T2_49,3,10,38
Beetles,saprotroph,T2_50,5,46,38
Beetles,saprotroph,T2_51,1,1,38
Beetles,saprotroph,T2_52,3,8,38
Beetles,saprotroph,T2_53,6,11,38
Beetles,saprotroph,T2_54,4,22,38
Beetles,saprotroph,T2_55,1,6,38
Beetles,saprotroph,T2_56,4,13,38
Beetles,saprotroph,T2_58,5,92,38
Beetles,saprotroph,T2_59,6,61,38
Beetles,saprotroph,T2_60,6,43,38
Beetles,saprotroph,T2_65,8,80,38
Beetles,saprotroph,T2_66,6,102,38
Beetles,saprotroph,T2_67,8,55,38
Beetles,saprotroph,T2_68,0,0,38
Beetles,saprotroph,T2_69,6,53,38
Beetles,saprotroph,T2_70,5,51,38
Beetles,saprotroph,T2_71,5,24,38
Beetles,saprotroph,T2_73,5,29,38
Beetles,saprotroph,T2_74,5,135,38
Beetles,saprotroph,T2_75,2,4,38
Beetles,saprotroph,T2_78,7,221,38
Beetles,saprotroph,T2_79,6,23,38
Beetles,saprotroph,T2_81,6,74,38
Beetles,saprotroph,T2_9,9,76,38
Beetles,saprotroph,T3_1,8,824,38
Beetles,saprotroph,T3_10,1,3,38
Beetles,saprotroph,T3_12,6,112,38
Beetles,saprotroph,T3_16,9,264,38
Beetles,saprotroph,T3_17,3,3,38
Beetles,saprotroph,T3_20,5,7,38
Beetles,saprotroph,T3_22,10,150,38
Beetles,saprotroph,T3_23,6,105,38
Beetles,saprotroph,T3_24,5,83,38
Beetles,saprotroph,T3_25,7,144,38
Beetles,saprotroph,T3_26,1,4,38
Beetles,saprotroph,T3_27,3,13,38
Beetles,saprotroph,T3_28,6,45,38
Beetles,saprotroph,T3_29,4,5,38
Beetles,saprotroph,T3_3,0,0,38
Beetles,saprotroph,T3_30,11,137,38
Beetles,saprotroph,T3_31,2,4,38
Beetles,saprotroph,T3_32,9,44,38
Beetles,saprotroph,T3_33,8,32,38
Beetles,saprotroph,T3_36,2,3,38
Beetles,saprotroph,T3_37,2,2,38
Beetles,saprotroph,T3_38,1,1,38
Beetles,saprotroph,T3_39,1,1,38
Beetles,saprotroph,T3_4,0,0,38
Beetles,saprotroph,T3_40,2,2,38
Beetles,saprotroph,T3_42,1,43,38
Beetles,saprotroph,T3_45,7,41,38
Beetles,saprotroph,T3_46,0,0,38
Beetles,saprotroph,T3_47,4,7,38
Beetles,saprotroph,T3_48,7,18,38
Beetles,saprotroph,T3_49,8,80,38
Beetles,saprotroph,T3_5,9,378,38
Beetles,saprotroph,T3_50,3,40,38
Beetles,saprotroph,T3_51,9,108,38
Beetles,saprotroph,T3_52,3,10,38
Beetles,saprotroph,T3_53,3,56,38
Beetles,saprotroph,T3_54,4,5,38
Beetles,saprotroph,T3_55,2,2,38
Beetles,saprotroph,T3_56,0,0,38
Beetles,saprotroph,T3_57,7,74,38
Beetles,saprotroph,T3_6,7,431,38
Beetles,saprotroph,T3_9,8,190,38
Beetles,saprotroph,T4_10,9,635,38
Beetles,saprotroph,T4_14,6,69,38
Beetles,saprotroph,T4_20,3,9,38
Beetles,saprotroph,T4_21,1,3,38
Beetles,saprotroph,T4_22,7,305,38
Beetles,saprotroph,T4_23,1,5,38
Beetles,saprotroph,T4_24,8,183,38
Beetles,saprotroph,T4_26,2,8,38
Beetles,saprotroph,T4_27,8,449,38
Beetles,saprotroph,T4_28,1,1,38
Beetles,saprotroph,T4_29,5,201,38
Beetles,saprotroph,T4_35,4,11,38
Beetles,saprotroph,T4_36,5,32,38
Beetles,saprotroph,T4_37,9,51,38
Beetles,saprotroph,T4_38,5,11,38
Beetles,saprotroph,T4_39,7,48,38
Beetles,saprotroph,T4_4,7,61,38
Beetles,saprotroph,T4_40,7,31,38
Beetles,saprotroph,T4_41,7,63,38
Beetles,saprotroph,T4_42,7,111,38
Beetles,saprotroph,T4_43,5,47,38
Beetles,saprotroph,T4_44,5,18,38
Beetles,saprotroph,T4_45,4,21,38
Beetles,saprotroph,T4_46,4,11,38
Beetles,saprotroph,T4_47,2,3,38
Beetles,saprotroph,T4_48,4,18,38
Beetles,saprotroph,T4_49,4,5,38
Beetles,saprotroph,T4_50,10,185,38
Beetles,saprotroph,T4_51,9,34,38
Beetles,saprotroph,T4_53,4,6,38
Beetles,saprotroph,T4_54,10,79,38
Beetles,saprotroph,T4_59,8,92,38
Beetles,saprotroph,T4_62,5,20,38
Beetles,saprotroph,T4_64,10,90,38
Beetles,saprotroph,T4_65,9,85,38
Beetles,saprotroph,T4_7,4,24,38
Beetles,saprotroph,T4_70,8,63,38
Beetles,saprotroph,T4_71,6,39,38
Beetles,saprotroph,T4_72,6,61,38
Beetles,saprotroph,T4_73,4,9,38
Beetles,saprotroph,T4_74,6,11,38
Beetles,saprotroph,T4_75,10,114,38
Beetles,saprotroph,T4_76,10,129,38
Beetles,saprotroph,T4_77,13,266,38
Beetles,saprotroph,T4_78,5,25,38
Beetles,saprotroph,T4_79,5,11,38
Beetles,saprotroph,T4_8,7,36,38
Beetles,saprotroph,T4_80,10,146,38
Beetles,saprotroph,T4_81,3,4,38
Beetles,saprotroph,T4_82,5,29,38
Beetles,saprotroph,T4_83,3,59,38
Beetles,saprotroph,T4_84,5,18,38
Beetles,saprotroph,T4_9,6,93,38
Beetles,saprotroph,TS_1,5,98,38
Beetles,saprotroph,TS_2,4,16,38
Beetles,saprotroph,TS_3,8,93,38
Beetles,saprotroph,TS_4,6,177,38
Beetles,saprotroph,TS_5,5,74,38
Springtails,saprotroph,T1_1,4,164,40
Springtails,saprotroph,T1_2,6,328,40
Springtails,saprotroph,T1_27,4,51,40
Springtails,saprotroph,T1_29,3,20,40
Springtails,saprotroph,T1_3,7,163,40
Springtails,saprotroph,T1_30,4,68,40
Springtails,saprotroph,T1_34,4,59,40
Springtails,saprotroph,T1_38,8,136,40
Springtails,saprotroph,T1_39,5,64,40
Springtails,saprotroph,T1_4,6,168,40
Springtails,saprotroph,T1_40,3,87,40
Springtails,saprotroph,T1_42,3,122,40
