SPP	POP	YR	Mx	Tmx	Nx
ARFE	ARFE_Vipond	1989	[0.153846153846154 0.0372670807453416 0.0185185185185185 0.899635548494253; 0.288461538461538 0.254658385093168 0 1.01009251462069; 0.0384615384615385 0.0372670807453416 0.259259259259259 0.47350714862069; 0.173076923076923 0.447204968944099 0.462962962962963 1.24264087517241]	[0.153846153846154 0.0372670807453416 0.0185185185185185 0.0459770114942529; 0.288461538461538 0.254658385093168 0 0.0344827586206896; 0.0384615384615385 0.0372670807453416 0.259259259259259 0.0344827586206896; 0.173076923076923 0.447204968944099 0.462962962962963 0.620689655172414]	[52 161 54 87]
ARFE	ARFE_Vipond	1990	[0.144444444444444 0.0359712230215827 0.0166666666666667 0.246445498; 0.344444444444444 0.237410071942446 0.0666666666666667 0.421800948350711; 0.0777777777777778 0.0935251798561151 0.416666666666667 0.19431279592891; 0.0555555555555556 0.302158273381295 0.166666666666667 0.222748814729858]	[0.144444444444444 0.0359712230215827 0.0166666666666667 0; 0.344444444444444 0.237410071942446 0.0666666666666667 0.099526066350711; 0.0777777777777778 0.0935251798561151 0.416666666666667 0.04739336492891; 0.0555555555555556 0.302158273381295 0.166666666666667 0.180094786729858]	[90 139 60 211]
ARFE	ARFE_Vipond	1991	[0.357142857142857 0.03125 0.0352941176470588 1.76680358523077; 0.171428571428571 0.29375 0.0352941176470588 0.601008215153846; 0.157142857142857 0.05 0.388235294117647 0.329536967692308; 0.0142857142857143 0.4375 0.329411764705882 0.694734876307692]	[0.357142857142857 0.03125 0.0352941176470588 0.0192307692307692; 0.171428571428571 0.29375 0.0352941176470588 0.0961538461538462; 0.157142857142857 0.05 0.388235294117647 0.0576923076923077; 0.0142857142857143 0.4375 0.329411764705882 0.442307692307692]	[70 158 85 104]
ARFE	ARFE_Vipond	1992	[0.120603015075377 0.0423728813559322 0.0470588235294118 0.551757357820809; 0.301507537688442 0.26271186440678 0.0117647058823529 0.91422496867052; 0.0753768844221105 0.0593220338983051 0.376470588235294 0.339313002745665; 0.0251256281407035 0.26271186440678 0.129411764705882 0.386984253606936]	[0.120603015075377 0.0423728813559322 0.0470588235294118 0.00578034682080925; 0.301507537688442 0.26271186440678 0.0117647058823529 0.0751445086705202; 0.0753768844221105 0.0593220338983051 0.376470588235294 0.0404624277456647; 0.0251256281407035 0.26271186440678 0.129411764705882 0.335260115606936]	[199 117 85 168]
CIPI	CIPI_1	1988	[0 0 0; 0 0.692307692307692 0; 0 0.230769230769231 0]	[0 0 0; 0 0.692307692307692 0; 0 0.230769230769231 0]	[0 65 11]
CIPI	CIPI_1	1989	[0 0 0.733333333333333; 0 0.680851063829787 0; 0 0.234042553191489 0]	[0 0 0; 0 0.680851063829787 0; 0 0.234042553191489 0]	[0 47 15]
CIPI	CIPI_1	1990	[0 0 4.09090909090909; 0.727272727272727 0.588235294117647 0; 0 0.323529411764706 0]	[0 0 0; 0.727272727272727 0.588235294117647 0; 0 0.323529411764706 0]	[11 34 11]
CIPI	CIPI_1	1991	[0 0 13.9090909090909; 0.488888888888889 0.516129032258065 0; 0 0.161290322580645 0]	[0 0 0; 0.488888888888889 0.516129032258065 0; 0 0.161290322580645 0]	[45 31 11]
CIPI	CIPI_1	1992	[0 0 6.8; 0.620915032679739 0.81578947368421 0; 0 0.105263157894737 0]	[0 0 0; 0.620915032679739 0.81578947368421 0; 0 0.105263157894737 0]	[153 38 5]
CIPI	CIPI_1	1993	[0 0 3.75; 0.735294117647059 0.76984126984127 0; 0 0.0476190476190476 0]	[0 0 0; 0.735294117647059 0.76984126984127 0; 0 0.0476190476190476 0]	[34 126 4]
CIPI	CIPI_1	1994	[0 0 0; 0.133333333333333 0.524590163934426 0; 0 0.0655737704918033 0]	[0 0 0; 0.133333333333333 0.524590163934426 0; 0 0.0655737704918033 0]	[15 122 6]
CIPI	CIPI_1	1995	[0 0 12.875; 0 0.772727272727273 0; 0 0.227272727272727 0]	[0 0 0; 0 0.772727272727273 0; 0 0.227272727272727 0]	[0 66 8]
CIPI	CIPI_1	1996	[0 0 3.2; 1 0.423076923076923 0; 0 0.576923076923077 0]	[0 0 0; 1 0.423076923076923 0; 0 0.576923076923077 0]	[103 52 15]
CIPI	CIPI_1	1997	[0 0 14.6333333333333; 0.708333333333333 0.528 0; 0 0.088 0]	[0 0 0; 0.708333333333333 0.528 0; 0 0.088 0]	[48 125 30]
CIPI	CIPI_2	1988	[0 0 0.142857142857143; 0 0.509090909090909 0; 0 0.290909090909091 0]	[0 0 0; 0 0.509090909090909 0; 0 0.290909090909091 0]	[0 55 7]
CIPI	CIPI_2	1989	[0 0 2.375; 1 0.4 0; 0 0.533333333333333 0]	[0 0 0; 1 0.4 0; 0 0.533333333333333 0]	[1 30 16]
CIPI	CIPI_2	1990	[0 0 2.0625; 0.657894736842105 0.176470588235294 0; 0 0.294117647058823 0]	[0 0 0; 0.657894736842105 0.176470588235294 0; 0 0.294117647058823 0]	[38 17 16]
CIPI	CIPI_2	1991	[0 0 9.2; 0.636363636363636 0.852941176470588 0; 0 0 0]	[0 0 0; 0.636363636363636 0.852941176470588 0; 0 0 0]	[33 34 5]
CIPI	CIPI_2	1992	[0 0 3.09781746031746; 0.782608695652174 0.74 0; 0 0.08 0]	[0 0 0; 0.782608695652174 0.74 0; 0 0.08 0]	[46 50 0]
CIPI	CIPI_2	1993	[0 0 1.5; 0.75 0.52054794520548 0; 0 0.26027397260274 0]	[0 0 0; 0.75 0.52054794520548 0; 0 0.26027397260274 0]	[8 73 4]
CIPI	CIPI_2	1994	[0 0 0; 0 0.181818181818182 0; 0 0.113636363636364 0]	[0 0 0; 0 0.181818181818182 0; 0 0.113636363636364 0]	[6 44 19]
CIPI	CIPI_2	1995	[0 0 3.6; 0 0.875 0; 0 0.125 0]	[0 0 0; 0 0.875 0; 0 0.125 0]	[0 8 5]
CIPI	CIPI_2	1996	[0 0 2; 1 0.375 0; 0 0.125 0]	[0 0 0; 1 0.375 0; 0 0.125 0]	[18 8 1]
CIPI	CIPI_2	1997	[0 0 7; 1 0.523809523809524 0; 0 0.0476190476190476 0]	[0 0 0; 1 0.523809523809524 0; 0 0.0476190476190476 0]	[2 21 1]
CIPI	CIPI_3	1988	[0 0 3.7716049382716; 1 0.73394495412844 0; 0 0.018348623853211 0]	[0 0 0; 1 0.73394495412844 0; 0 0.018348623853211 0]	[3 109 0]
CIPI	CIPI_3	1989	[0 0 3.5; 0.75 0.758620689655172 0; 0 0.103448275862069 0]	[0 0 0; 0.75 0.758620689655172 0; 0 0.103448275862069 0]	[12 87 2]
CIPI	CIPI_3	1990	[0 0 7.66666666666667; 0.428571428571428 0.662337662337662 0; 0 0.25974025974026 0]	[0 0 0; 0.428571428571428 0.662337662337662 0; 0 0.25974025974026 0]	[7 77 9]
CIPI	CIPI_3	1991	[0 0 7; 0.550724637681159 0.618181818181818 0; 0 0.163636363636364 0]	[0 0 0; 0.550724637681159 0.618181818181818 0; 0 0.163636363636364 0]	[69 55 20]
CIPI	CIPI_3	1992	[0 0 0.777777777777778; 0.621428571428571 0.680555555555556 0; 0 0.125 0]	[0 0 0; 0.621428571428571 0.680555555555556 0; 0 0.125 0]	[140 72 9]
CIPI	CIPI_3	1993	[0 0 2; 0.571428571428571 0.647058823529412 0; 0 0.0147058823529412 0]	[0 0 0; 0.571428571428571 0.647058823529412 0; 0 0.0147058823529412 0]	[7 136 9]
CIPI	CIPI_3	1994	[0 0 0; 0 0.423913043478261 0; 0 0.0434782608695652 0]	[0 0 0; 0 0.423913043478261 0; 0 0.0434782608695652 0]	[18 92 2]
CIPI	CIPI_3	1995	[0 0 8.25; 0 0.769230769230769 0; 0 0.230769230769231 0]	[0 0 0; 0 0.769230769230769 0; 0 0.230769230769231 0]	[0 39 4]
CIPI	CIPI_3	1996	[0 0 2; 1 0.6 0; 0 0.4 0]	[0 0 0; 1 0.6 0; 0 0.4 0]	[33 30 9]
CIPI	CIPI_3	1997	[0 0 2.75; 1 0.725490196078431 0; 0 0.156862745098039 0]	[0 0 0; 1 0.725490196078431 0; 0 0.156862745098039 0]	[18 51 12]
CIPI	CIPI_4	1998	[0 0 0 0 0 10; 0.088235294117647 0.125 0 0 0 0; 0.117647058823529 0.625 0.269230769230769 0 0 0; 0 0 0.384615384615385 0.25 0 0; 0 0 0.153846153846154 0.375 0.2 0; 0 0 0 0.375 0.8 0]	[0 0 0 0 0 0; 0.088235294117647 0.125 0 0 0 0; 0.117647058823529 0.625 0.269230769230769 0 0 0; 0 0 0.384615384615385 0.25 0 0; 0 0 0.153846153846154 0.375 0.2 0; 0 0 0 0.375 0.8 0]	[34 8 26 8 5 1]
CIPI	CIPI_4	1999	[0 0 0 0 0 10.8571428571429; 0.2 0 0 0 0 0; 0.6 0.75 0.25 0.0833333333333333 0 0; 0.1 0 0.625 0.333333333333333 0 0; 0 0 0.125 0.416666666666667 0.125 0; 0 0 0 0.166666666666667 0.625 0]	[0 0 0 0 0 0; 0.2 0 0 0 0 0; 0.6 0.75 0.25 0.0833333333333333 0 0; 0.1 0 0.625 0.333333333333333 0 0; 0 0 0.125 0.416666666666667 0.125 0; 0 0 0 0.166666666666667 0.625 0]	[10 4 16 12 8 7]
CIPI	CIPI_4	2000	[0 0 0 0 0 6; 0.0131578947368421 0 0 0 0 0; 0.434210526315789 1 0.428571428571428 0 0.125 0; 0.184210526315789 0 0.285714285714286 0.266666666666667 0 0; 0.0263157894736842 0 0.214285714285714 0.666666666666667 0 0; 0 0 0 0 0.625 0]	[0 0 0 0 0 0; 0.0131578947368421 0 0 0 0 0; 0.434210526315789 1 0.428571428571428 0 0.125 0; 0.184210526315789 0 0.285714285714286 0.266666666666667 0 0; 0.0263157894736842 0 0.214285714285714 0.666666666666667 0 0; 0 0 0 0 0.625 0]	[76 2 14 15 8 7]
CIPI	CIPI_4	2001	[0 0 0 0 0 2.6; 0.0714285714285714 0 0 0 0 0; 0.69047619047619 0 0.428571428571428 0.0454545454545455 0 0; 0.0714285714285714 0 0.428571428571428 0.636363636363636 0 0; 0.0238095238095238 0 0 0.090909090909091 0.333333333333333 0; 0 0 0 0.227272727272727 0.666666666666667 0]	[0 0 0 0 0 0; 0.0714285714285714 0 0 0 0 0; 0.69047619047619 0 0.428571428571428 0.0454545454545455 0 0; 0.0714285714285714 0 0.428571428571428 0.636363636363636 0 0; 0.0238095238095238 0 0 0.090909090909091 0.333333333333333 0; 0 0 0 0.227272727272727 0.666666666666667 0]	[42 1 42 22 15 5]
CIPI	CIPI_4	2002	[0 0 0 0 0 7.93333333333333; 0.461538461538462 0 0 0 0 0; 0.230769230769231 1 0.354166666666667 0.0263157894736842 0 0; 0.153846153846154 0 0.479166666666667 0.0789473684210526 0 0; 0 0 0.104166666666667 0.552631578947368 0.125 0; 0 0 0 0.210526315789474 0.625 0]	[0 0 0 0 0 0; 0.461538461538462 0 0 0 0 0; 0.230769230769231 1 0.354166666666667 0.0263157894736842 0 0; 0.153846153846154 0 0.479166666666667 0.0789473684210526 0 0; 0 0 0.104166666666667 0.552631578947368 0.125 0; 0 0 0 0.210526315789474 0.625 0]	[13 3 48 38 8 15]
ASSC	ASSC_haynes	1988	[0.406779661016949 0.133333333333333 0.08 0.0990990990990991 0; 0.351694915254237 0.422222222222222 0.24 0.144144144144144 0.190476190619048; 0.148305084745763 0.133333333333333 0.16 0.126126126126126 0.0952380952380952; 0.0550847457627119 0.0222222222222222 0.12 0.063063063063063 0.0476190476190476; 0.038135593220339 0.0444444444444445 0.32 0.387387387387387 0.666666666666667]	[0.406779661016949 0.133333333333333 0.08 0.0990990990990991 0; 0.351694915254237 0.422222222222222 0.24 0.144144144144144 0.0476190476190476; 0.148305084745763 0.133333333333333 0.16 0.126126126126126 0.0952380952380952; 0.0550847457627119 0.0222222222222222 0.12 0.063063063063063 0.0476190476190476; 0.038135593220339 0.0444444444444445 0.32 0.387387387387387 0.666666666666667]	[7 45 25 0 21]
ASSC	ASSC_haynes	1989	[0.5 0.12 0.0625 0.0990990990990991 0; 0.333333333333333 0.38 0.1875 0.144144144144144 0.0384615384615385; 0 0.1 0.375 0.126126126126126 0.0769230769230769; 0.166666666666667 0.1 0.1875 0.063063063063063 0.192307692307692; 0 0 0.1875 0.387387387387387 0.576923076923077]	[0.5 0.12 0.0625 0.0990990990990991 0; 0.333333333333333 0.38 0.1875 0.144144144144144 0.0384615384615385; 0 0.1 0.375 0.126126126126126 0.0769230769230769; 0.166666666666667 0.1 0.1875 0.063063063063063 0.192307692307692; 0 0 0.1875 0.387387387387387 0.576923076923077]	[12 50 16 5 26]
ASSC	ASSC_haynes	1990	[0.230769230769231 0.0625 0 0 0; 0.230769230769231 0.34375 0 0.0625 0.181818182; 0.384615384615385 0.25 0 0.0625 0.0454545454545455; 0.0769230769230769 0.0625 0.307692307692308 0.0625 0.136363636363636; 0.0769230769230769 0.1875 0.615384615384615 0.6875 0.636363636363636]	[0.230769230769231 0.0625 0 0 0; 0.230769230769231 0.34375 0 0.0625 0; 0.384615384615385 0.25 0 0.0625 0.0454545454545455; 0.0769230769230769 0.0625 0.307692307692308 0.0625 0.136363636363636; 0.0769230769230769 0.1875 0.615384615384615 0.6875 0.636363636363636]	[13 32 13 16 22]
ASSC	ASSC_haynes	1991	[0.406779661016949 0.0277777777777778 0.0952380952380952 0.0769230769230769 0.075; 0.351694915254237 0.444444444444444 0.380952380952381 0.153846153846154 0.225; 0.148305084745763 0.0277777777777778 0.19047619047619 0.230769230769231 0.25; 0.0550847457627119 0.0555555555555556 0.142857142857143 0.153846153846154 0.275; 0.038135593220339 0 0.0476190476190476 0.230769230769231 0.2]	[0.406779661016949 0.0277777777777778 0.0952380952380952 0.0769230769230769 0.075; 0.351694915254237 0.444444444444444 0.380952380952381 0.153846153846154 0.15; 0.148305084745763 0.0277777777777778 0.19047619047619 0.230769230769231 0.25; 0.0550847457627119 0.0555555555555556 0.142857142857143 0.153846153846154 0.275; 0.038135593220339 0 0.0476190476190476 0.230769230769231 0.2]	[5 36 21 13 40]
ASSC	ASSC_haynes	1992	[0.090909090909091 0.0454545454545455 0 0 0.0833333333333333; 0.454545454545454 0.295454545454546 0.05 0.111111111111111 0.5; 0.181818181818182 0.204545454545455 0.1 0.0555555555555556 0; 0 0.090909090909091 0.15 0.0555555555555556 0; 0.272727272727273 0.272727272727273 0.6 0.555555555555556 0.833333333333333]	[0.090909090909091 0.0454545454545455 0 0 0.0833333333333333; 0.454545454545454 0.295454545454546 0.05 0.111111111111111 0; 0.181818181818182 0.204545454545455 0.1 0.0555555555555556 0; 0 0.090909090909091 0.15 0.0555555555555556 0; 0.272727272727273 0.272727272727273 0.6 0.555555555555556 0.833333333333333]	[11 44 20 18 12]
ASSC	ASSC_haynes	1993	[0.406779661016949 0.174603174603175 0.263157894736842 0.0990990990990991 0.26530612244898; 0.351694915254237 0.523809523809524 0.368421052631579 0.144144144144144 0.122448979591837; 0.148305084745763 0.0793650793650794 0.105263157894737 0.126126126126126 0.183673469387755; 0.0550847457627119 0.0158730158730159 0.157894736842105 0.063063063063063 0.326530612244898; 0.038135593220339 0 0.0526315789473684 0.387387387387387 0.0204081632653061]	[0.406779661016949 0.174603174603175 0.263157894736842 0.0990990990990991 0.26530612244898; 0.351694915254237 0.523809523809524 0.368421052631579 0.144144144144144 0.122448979591837; 0.148305084745763 0.0793650793650794 0.105263157894737 0.126126126126126 0.183673469387755; 0.0550847457627119 0.0158730158730159 0.157894736842105 0.063063063063063 0.326530612244898; 0.038135593220339 0 0.0526315789473684 0.387387387387387 0.0204081632653061]	[4 63 19 8 49]
ASSC	ASSC_haynes	1994	[0.0303030303030303 0.0677966101694915 0 0.0434782608695652 0.132701421800948; 0.515151515151515 0.186440677966102 0.157894736842105 0.0869565217391304 2.57109004739337; 0.242424242424242 0.271186440677966 0.157894736842105 0.130434782608696 1.14691943127962; 0.121212121212121 0.0847457627118644 0.105263157894737 0.0434782608695652 0.18957345971564; 0.090909090909091 0.0508474576271186 0.368421052631579 0.521739130434783 0.322274881516588]	[0.0303030303030303 0.0677966101694915 0 0.0434782608695652 0.132701421800948; 0.515151515151515 0.186440677966102 0.157894736842105 0.0869565217391304 0.0710900473933649; 0.242424242424242 0.271186440677966 0.157894736842105 0.130434782608696 0.146919431279621; 0.121212121212121 0.0847457627118644 0.105263157894737 0.0434782608695652 0.18957345971564; 0.090909090909091 0.0508474576271186 0.368421052631579 0.521739130434783 0.322274881516588]	[33 59 19 23 2]
ASSC	ASSC_haynes	1995	[0.406779661016949 0.280898876404494 0.384615384615385 0.333333333333333 0.296296296296296; 0.351694915254237 0.191011235955056 0.307692307692308 0.25 0.037037037037037; 0.148305084745763 0.0112359550561798 0.0512820512820513 0.25 0.111111111111111; 0.0550847457627119 0 0 0 0.0740740740740741; 0.038135593220339 0 0.0256410256410256 0.0833333333333333 0.0740740740740741]	[0.406779661016949 0.280898876404494 0.384615384615385 0.333333333333333 0.296296296296296; 0.351694915254237 0.191011235955056 0.307692307692308 0.25 0.037037037037037; 0.148305084745763 0.0112359550561798 0.0512820512820513 0.25 0.111111111111111; 0.0550847457627119 0 0 0 0.0740740740740741; 0.038135593220339 0 0.0256410256410256 0.0833333333333333 0.0740740740740741]	[6 89 39 12 27]
ASSC	ASSC_haynes	1996	[0.625 0.342857142857143 0.172093023255814 0.0990990990990991 0.132701421800948; 0.214285714285714 0.4 0.218604651162791 0.144144144144144 0.321090047393365; 0.142857142857143 0.114285714285714 0.153488372093023 0.126126126126126 0.396919431279621; 0.0178571428571429 0.0285714285714286 0.111627906976744 0.063063063063063 0.18957345971564; 0 0 0.204651162790698 0.387387387387387 0.322274881516588]	[0.625 0.342857142857143 0.172093023255814 0.0990990990990991 0.132701421800948; 0.214285714285714 0.4 0.218604651162791 0.144144144144144 0.0710900473933649; 0.142857142857143 0.114285714285714 0.153488372093023 0.126126126126126 0.146919431279621; 0.0178571428571429 0.0285714285714286 0.111627906976744 0.063063063063063 0.18957345971564; 0 0 0.204651162790698 0.387387387387387 0.322274881516588]	[56 35 9 2 4]
ASSC	ASSC_haynes	1997	[0.46 0.157894736842105 0.421052631578947 0.0990990990990991 0.132701421800948; 0.38 0.315789473684211 0.105263157894737 0.144144144144144 3.07109004739337; 0.08 0.131578947368421 0.105263157894737 0.126126126126126 0.146919431279621; 0.06 0.105263157894737 0.0526315789473684 0.063063063063063 0.18957345971564; 0.02 0.0263157894736842 0.105263157894737 0.387387387387387 0.322274881516588]	[0.46 0.157894736842105 0.421052631578947 0.0990990990990991 0.132701421800948; 0.38 0.315789473684211 0.105263157894737 0.144144144144144 0.0710900473933649; 0.08 0.131578947368421 0.105263157894737 0.126126126126126 0.146919431279621; 0.06 0.105263157894737 0.0526315789473684 0.063063063063063 0.18957345971564; 0.02 0.0263157894736842 0.105263157894737 0.387387387387387 0.322274881516588]	[50 38 19 5 1]
ASSC	ASSC_haynes	1998	[0.307692307692308 0.210526315789474 0.133333333333333 0.0990990990990991 0.132701421800948; 0.487179487179487 0.43859649122807 0.2 0.144144144144144 0.642518618393365; 0.153846153846154 0.105263157894737 0.4 0.126126126126126 0.146919431279621; 0.0512820512820513 0.0175438596491228 0 0.063063063063063 0.18957345971564; 0 0 0 0.387387387387387 0.322274881516588]	[0.307692307692308 0.210526315789474 0.133333333333333 0.0990990990990991 0.132701421800948; 0.487179487179487 0.43859649122807 0.2 0.144144144144144 0.0710900473933649; 0.153846153846154 0.105263157894737 0.4 0.126126126126126 0.146919431279621; 0.0512820512820513 0.0175438596491228 0 0.063063063063063 0.18957345971564; 0 0 0 0.387387387387387 0.322274881516588]	[39 57 15 9 7]
ASSC	ASSC_mcdevi	1990	[0 0.0434782608695652 0.0666666666666667 0.0625 0.166666666666667; 0 0.217391304347826 0 0 0.25; 0.363636363636364 0.173913043478261 0.133333333333333 0 0.333333333; 0.181818181818182 0.0434782608695652 0.133333333333333 0.0625 0.250000000333333; 0.272727272727273 0.0869565217391304 0.466666666666667 0.75 0.749999999666667]	[0 0.0434782608695652 0.0666666666666667 0.0625 0.166666666666667; 0 0.217391304347826 0 0 0; 0.363636363636364 0.173913043478261 0.133333333333333 0 0; 0.181818181818182 0.0434782608695652 0.133333333333333 0.0625 0.0833333333333333; 0.272727272727273 0.0869565217391304 0.466666666666667 0.75 0.666666666666667]	[11 23 15 16 12]
ASSC	ASSC_mcdevi	1991	[0.0493827160493827 0.167630057803468 0.0714285714285714 0.0933333333333333 0.121212121212121; 0.197530864197531 0.271676300578035 0 0.04 0.212121212212121; 0.222222222222222 0.225433526011561 0.357142857142857 0.12 0.333333333424242; 0.111111111111111 0.046242774566474 0.0714285714285714 0.0933333333333333 0.0606060606060606; 0.197530864197531 0.0520231213872832 0.357142857142857 0.493333333333333 0.272727273121212]	[0.0493827160493827 0.167630057803468 0.0714285714285714 0.0933333333333333 0.121212121212121; 0.197530864197531 0.271676300578035 0 0.04 0.121212121212121; 0.222222222222222 0.225433526011561 0.357142857142857 0.12 0.242424242424242; 0.111111111111111 0.046242774566474 0.0714285714285714 0.0933333333333333 0.0606060606060606; 0.197530864197531 0.0520231213872832 0.357142857142857 0.493333333333333 0.212121212121212]	[5 9 14 9 33]
ASSC	ASSC_mcdevi	1992	[0.0493827160493827 0 0 0.0933333333333333 0.0555555555555556; 0.197530864197531 0.285714285714286 0.0476190476190476 0.04 0.999999999555556; 0.222222222222222 0.357142857142857 0.19047619047619 0.12 0.222222222; 0.111111111111111 0.0714285714285714 0.0952380952380952 0.0933333333333333 0; 0.197530864197531 0.0714285714285714 0.619047619047619 0.493333333333333 0.888888888777778]	[0.0493827160493827 0 0 0.0933333333333333 0.0555555555555556; 0.197530864197531 0.285714285714286 0.0476190476190476 0.04 0.0555555555555556; 0.222222222222222 0.357142857142857 0.19047619047619 0.12 0; 0.111111111111111 0.0714285714285714 0.0952380952380952 0.0933333333333333 0; 0.197530864197531 0.0714285714285714 0.619047619047619 0.493333333333333 0.777777777777778]	[6 14 21 4 18]
