Quadrat.ID,Region,Age,Redox.potential,Relative.tidal.height,Spar,Sali,Suae,Atri,Aste,Limo,Pucc,Trig,Plan,Elyt
ABBOT A28,essex,MR,384,1.02,0,0,0,0,0,0,0,0,0,1
ABBOT A29,essex,MR,374,1.04,0,0,1,0,0,0,0,0,0,0
ABBOT A30,essex,MR,354,1.05,0,0,0,0,0,0,0,0,0,0
ABBOT A31,essex,MR,304,0.95,0,1,1,0,0,0,0,0,0,0
ABBOT A32,essex,MR,254,0.88,0,1,1,0,0,0,0,0,0,0
ABBOT A33,essex,MR,454,1.01,0,1,1,0,0,0,0,0,0,0
ABBOT A34,essex,MR,294,0.91,0,1,1,0,0,0,0,0,0,0
ABBOT A35,essex,MR,374,0.97,0,1,1,1,1,0,0,0,0,0
ABBOT A36,essex,MR,324,0.89,0,1,1,0,0,0,0,0,0,0
ABBOT A37,essex,MR,294,0.58,0,1,1,0,0,0,0,0,0,0
ABBOT A38,essex,MR,304,0.61,0,1,1,0,0,0,0,0,0,0
ABBOT A39,essex,MR,284,0.41,0,1,1,0,0,0,0,0,0,0
ABBOT A40,essex,MR,274,0.17,0,1,1,0,0,0,0,0,0,0
ABBOT A41,essex,MR,254,0.16,0,1,0,0,0,0,0,0,0,0
ABBOT A42,essex,MR,244,0.83,0,1,0,0,0,0,0,0,0,0
ABBOT A43,essex,MR,334,0.75,0,0,0,0,0,0,0,0,0,0
ABBOT A44,essex,MR,264,0.76,0,0,1,0,0,0,0,0,0,0
ABBOT A45,essex,MR,264,0.9,0,0,1,0,0,0,0,0,0,0
ABBOT A46,essex,MR,354,0.88,0,1,0,0,0,0,0,0,0,1
ABBOT A47,essex,MR,354,0.89,0,1,1,0,0,0,1,0,0,1
ABBOT A48,essex,MR,324,0.93,0,0,0,0,1,0,0,0,0,1
ABBOT A49,essex,MR,314,0.83,0,0,0,0,0,0,0,0,0,1
ABBOT A50,essex,MR,354,0.8,0,0,1,0,0,0,0,0,0,0
BRANC 04 01,norfolk,MR,272,0.68,0,1,1,0,0,0,0,0,0,0
BRANC 04 02,norfolk,MR,5,0.48,0,1,0,0,0,0,0,0,0,0
BRANC 04 03,norfolk,MR,318,0.76,0,1,1,1,0,0,1,0,0,0
BRANC 04 04,norfolk,MR,364,0.88,0,0,1,0,0,0,0,0,0,0
BRANC 04 05,norfolk,MR,196,0.72,0,1,1,0,1,0,0,0,0,0
BRANC 04 06,norfolk,MR,370,0.82,0,1,1,1,0,1,1,0,0,0
BRANC 04 07,norfolk,MR,-74,0.44,0,0,0,0,0,0,0,0,0,0
BRANC 04 08,norfolk,MR,336,0.94,0,0,1,1,1,0,0,0,0,0
BRANC 04 09,norfolk,MR,257,0.76,0,1,1,1,1,0,1,0,0,0
BRANC 04 10,norfolk,MR,336,0.92,0,0,1,1,0,0,1,0,0,0
BRANC 04 11,norfolk,MR,260,0.7,0,1,1,1,1,0,1,0,0,0
BRANC 04 12,norfolk,MR,294,0.75,0,1,1,0,0,0,1,0,0,0
BRANC 04 13,norfolk,MR,-46,0.47,0,1,1,0,0,0,0,0,0,0
BRANC 04 14,norfolk,MR,155,0.51,0,1,1,0,0,0,0,0,0,0
BRANC 04 15,norfolk,MR,263,0.55,0,1,1,0,0,0,1,0,0,0
BRANC 04 16,norfolk,MR,138,0.49,0,1,1,0,0,0,1,0,0,0
BRANC 04 17,norfolk,MR,354,0.76,0,1,1,1,0,0,0,0,0,0
BRANC 04 18,norfolk,MR,245,0.74,0,1,1,0,0,0,1,0,0,0
BRANC 04 19,norfolk,MR,323,0.68,0,1,1,1,0,0,0,0,0,0
BRANC 04 20,norfolk,MR,270,0.63,0,1,1,0,1,1,0,0,0,0
BRANC 04 21,norfolk,MR,130,0.5,0,1,1,0,0,0,0,0,0,0
BRANC 04 22,norfolk,MR,21,0.5,0,1,0,0,0,0,0,0,0,0
BRANC 04 23,norfolk,MR,312,0.49,0,0,1,1,0,0,0,0,0,0
BRANC 04 24,norfolk,MR,37,0.53,0,1,1,0,0,0,0,0,0,0
BRANC 04 25,norfolk,MR,-33,0.45,0,1,0,0,0,0,0,0,0,0
BRANC 04 26,norfolk,MR,59,0.6,0,1,1,0,1,0,0,0,0,0
BRANC 04 27,norfolk,MR,238,0.62,0,1,1,0,0,0,0,0,0,0
BRANC 04 28,norfolk,MR,192,0.61,0,1,1,0,0,0,0,0,0,0
BRANC 04 29,norfolk,MR,126,0.61,0,1,1,0,0,0,0,0,0,0
BRANC 04 30,norfolk,MR,434,0.94,0,0,1,0,0,0,0,0,0,1
BRANC 04 31,norfolk,MR,444,0.96,0,0,1,0,0,0,0,0,0,1
BRANC 04 32,norfolk,MR,417,0.79,0,1,1,0,0,0,0,0,0,1
BRANC 04 33,norfolk,MR,453,0.73,0,1,1,0,0,0,0,0,0,1
BRANC 04 34,norfolk,MR,45,0.63,0,1,1,0,0,0,1,0,0,0
BRANC 04 35,norfolk,MR,327,0.8,0,1,1,0,0,1,0,0,0,1
BRANC 04 36,norfolk,MR,391,0.84,0,0,1,0,0,0,0,0,0,1
BRANC 04 37,norfolk,MR,237,0.75,0,1,1,0,0,0,0,0,0,0
BRANC 04 38,norfolk,MR,194,0.69,0,1,1,0,0,0,0,0,0,0
BRANC 04 39,norfolk,MR,407,0.72,0,0,1,0,0,0,0,0,0,0
BRANC 04 40,norfolk,MR,187,0.72,0,0,1,0,0,0,0,1,0,0
BRANC 04 41,norfolk,MR,191,0.76,0,1,1,1,0,0,0,0,0,0
BRANC 04 42,norfolk,MR,177,0.7,0,1,1,0,0,0,0,0,0,0
BRANC 04 43,norfolk,MR,226,0.84,0,1,1,0,0,1,1,0,0,0
BRANC 04 44,norfolk,MR,429,0.85,0,0,0,0,0,0,0,0,0,1
BRANC 04 45,norfolk,MR,472,1.13,0,0,0,0,0,0,0,0,0,1
BRANC 04 46,norfolk,MR,211,0.84,0,1,1,0,0,0,0,0,0,0
BRANC 04 47,norfolk,MR,224,0.89,0,1,1,0,0,0,1,0,0,1
BRANC 04 48,norfolk,MR,156,0.93,0,1,1,1,0,0,0,0,0,0
BRANC 04 49,norfolk,MR,149,0.88,1,1,1,0,0,1,1,0,0,0
BRANC 04 50,norfolk,MR,161,0.89,0,1,1,0,0,0,0,0,0,0
BRITE 01,essex,NAT,216,0.38,0,1,0,0,1,0,0,0,0,0
BRITE 02,essex,NAT,392,1.17,0,0,0,1,0,0,0,0,0,1
BRITE 04,essex,NAT,410,1.03,0,0,1,1,0,0,0,0,0,0
BRITE 05,essex,NAT,351,1.03,0,0,1,1,0,0,1,0,0,0
BRITE 06,essex,NAT,360,0.92,0,0,1,1,1,0,1,0,0,0
BRITE 07,essex,NAT,286,0.97,0,0,0,1,0,0,1,0,0,0
BRITE 08,essex,NAT,337,0.96,0,0,0,1,0,0,1,0,0,0
BRITE 09,essex,NAT,384,1.01,0,0,0,1,0,0,1,0,0,0
BRITE 10,essex,NAT,381,1,0,0,0,1,0,0,1,0,0,1
BRITE 11,essex,NAT,334,0.95,0,0,1,1,0,0,1,0,0,0
BRITE 12,essex,NAT,367,0.98,0,0,0,1,0,0,1,0,0,0
BRITE 13,essex,NAT,353,0.75,0,1,1,0,1,0,1,0,0,0
BRITE 14,essex,NAT,395,0.96,0,0,1,1,0,0,1,0,0,1
BRITE 15,essex,NAT,333,0.92,0,0,1,1,0,1,1,0,0,0
BRITE 16,essex,NAT,374,1.09,0,0,1,1,0,0,0,0,0,1
BRITE 17,essex,NAT,186,0.95,0,1,0,0,0,1,1,0,1,0
BRITE 18,essex,NAT,296,0.98,0,0,1,1,0,0,1,0,0,0
BRITE 19,essex,NAT,399,1.03,0,0,1,1,0,0,1,0,0,1
BRITE 20,essex,NAT,377,0.97,0,0,1,1,1,0,1,0,0,1
BRITE 21,essex,NAT,408,1.1,0,0,0,1,0,0,0,0,0,1
BRITE 22,essex,NAT,249,0.67,0,1,1,0,1,0,1,0,0,0
BRITE 23,essex,NAT,299,0.8,0,0,1,1,1,0,1,0,0,0
BRITE 24,essex,NAT,154,0.84,1,0,0,0,0,0,1,0,0,0
BRITE 25,essex,NAT,166,0.82,0,0,1,0,0,1,1,0,0,0
BRITE 26,essex,NAT,434,1.11,0,0,1,0,0,0,0,0,0,1
BRITE 27,essex,NAT,438,0.98,0,0,1,1,1,0,1,0,0,0
BRITE 28,essex,NAT,394,1,0,0,0,1,0,0,0,0,0,0
BRITE 29,essex,NAT,364,0.99,0,0,1,1,0,0,1,0,0,0
BRITE 30,essex,NAT,306,0.99,0,0,1,1,0,0,1,0,0,0
BRITE 31,essex,NAT,334,0.92,0,1,1,1,0,1,1,0,0,0
BRITE 32,essex,NAT,388,1.01,0,0,1,1,0,0,1,0,0,0
BRITE 33,essex,NAT,394,0.92,0,0,1,1,0,0,1,0,0,0
BRITE 34,essex,NAT,293,0.93,0,0,1,1,1,1,1,0,0,0
BRITE 35,essex,NAT,408,1.18,0,0,0,1,0,0,0,0,0,1
BRITE 36,essex,NAT,340,0.8,0,0,1,0,1,1,1,0,0,0
BRITE 37,essex,NAT,367,0.85,1,0,1,1,1,0,1,0,0,0
BRITE 38,essex,NAT,388,1.17,0,0,0,1,0,0,0,0,0,1
BRITE 39,essex,NAT,320,0.99,0,0,1,1,0,1,1,0,0,0
BRITE 40,essex,NAT,281,0.95,1,0,0,0,0,0,1,0,0,0
BRITE 41,essex,NAT,287,0.95,0,1,0,0,0,1,1,1,0,0
BRITE 42,essex,NAT,346,0.95,0,0,1,1,0,0,1,0,0,0
BRITE 43,essex,NAT,334,0.98,0,1,1,0,0,1,1,0,0,0
BRITE 44,essex,NAT,221,0.96,0,1,1,1,1,0,1,0,0,0
BRITE 45,essex,NAT,264,0.88,0,0,1,1,0,1,1,0,0,0
BRITE 46,essex,NAT,362,1.05,0,0,1,1,0,0,0,0,0,1
BRITE 47,essex,NAT,347,1.05,0,0,1,1,0,0,1,0,0,0
BRITE 48,essex,NAT,316,0.97,0,0,1,0,0,0,1,0,0,0
BRITE 49,essex,NAT,414,1,0,1,1,1,1,1,0,0,0,0
BRITE 50,essex,NAT,336,0.96,0,0,1,0,1,0,1,0,0,0
BRRW 01,essex,AR,327,0.99,0,0,1,1,0,1,1,0,0,0
BRRW 02,essex,AR,179,0.9,1,0,0,0,0,1,1,0,0,0
BRRW 03,essex,AR,104,0.82,1,0,0,0,0,0,1,0,0,0
BRRW 04,essex,AR,282,0.84,0,1,1,0,1,0,1,0,0,0
BRRW 05,essex,AR,302,0.9,1,1,1,0,0,0,1,0,0,0
BRRW 06,essex,AR,358,0.92,0,1,1,0,1,0,1,0,0,0
BRRW 07,essex,AR,229,0.89,1,0,1,0,1,0,1,0,0,0
BRRW 08,essex,AR,358,0.94,0,1,1,1,1,0,1,0,0,0
BRRW 09,essex,AR,360,0.89,0,0,0,1,0,0,1,0,0,0
BRRW 10,essex,AR,139,0.93,1,0,1,0,0,0,1,0,0,0
BRRW 11,essex,AR,269,0.7,0,1,1,0,1,0,1,0,0,0
BRRW 12,essex,AR,302,0.92,0,1,1,0,0,0,1,0,0,0
BRRW 13,essex,AR,325,0.82,0,0,1,0,1,0,1,0,0,0
BRRW 14,essex,AR,249,0.92,1,0,1,1,1,0,1,0,0,0
BRRW 15,essex,AR,229,0.98,0,1,1,0,1,0,1,0,0,0
BRRW 16,essex,AR,159,0.89,1,0,1,0,1,0,1,0,0,0
BRRW 17,essex,AR,229,0.74,0,1,1,0,1,0,1,0,0,0
BRRW 18,essex,AR,64,0.82,1,0,1,0,0,0,0,0,0,0
BRRW 19,essex,AR,283,0.87,0,0,1,1,1,0,1,0,0,0
BRRW 20,essex,AR,269,0.79,0,0,1,1,1,0,1,0,0,0
BRRW 21,essex,AR,382,0.92,0,0,0,1,1,0,1,0,0,0
BRRW 22,essex,AR,202,1,1,1,1,0,1,0,1,0,0,0
BRRW 23,essex,AR,304,1.04,0,1,1,0,0,0,1,0,0,0
BRRW 24,essex,AR,402,1.15,0,0,1,1,0,0,0,0,0,1
BRRW 25,essex,AR,414,1.83,0,0,0,0,0,0,0,0,0,1
BRRW 26,essex,AR,305,1.18,0,1,1,1,0,1,1,0,0,0
BRRW 27,essex,AR,282,1.02,0,1,1,1,1,1,1,0,0,0
BRRW 28,essex,AR,139,0.99,0,1,1,0,1,1,1,0,0,0
BRRW 29,essex,AR,227,0.96,1,1,1,0,1,1,1,0,0,0
BRRW 30,essex,AR,105,0.91,1,0,0,0,0,0,1,0,0,0
BRRW 31,essex,AR,124,0.87,1,0,1,0,1,0,1,0,0,0
BRRW 32,essex,AR,179,0.84,1,0,0,0,0,0,1,0,0,0
BRRW 33,essex,AR,50,0.87,1,0,0,0,0,0,0,0,0,0
BRRW 34,essex,AR,304,0.94,0,0,1,1,1,0,1,0,0,0
BRRW 35,essex,AR,314,0.96,0,1,1,1,1,1,1,0,0,0
BRRW 36,essex,AR,282,0.93,0,1,1,0,1,0,1,0,0,0
BRRW 37,essex,AR,282,0.92,1,0,0,1,1,0,0,0,0,0
BRRW 38,essex,AR,229,0.96,0,0,0,0,1,0,1,0,0,0
BRRW 39,essex,AR,159,0.98,1,1,1,0,1,0,1,0,0,0
BRRW 40,essex,AR,184,0.98,1,0,0,0,1,0,1,0,0,0
BRRW 41,essex,AR,315,1,1,0,0,1,0,0,1,0,0,0
BRRW 42,essex,AR,339,0.94,0,0,0,1,0,0,1,0,0,0
BRRW 43,essex,AR,329,0.97,0,0,0,1,1,0,1,0,0,0
BRRW 44,essex,AR,126,0.76,1,0,0,0,1,0,1,0,0,0
BRRW 45,essex,AR,154,0.85,1,0,0,0,0,0,1,0,0,0
BRRW 46,essex,AR,150,0.77,1,0,0,0,0,0,1,0,0,0
BRRW 47,essex,AR,159,0.9,1,0,0,0,0,0,1,0,0,0
BRRW 48,essex,AR,260,0.83,1,0,0,0,1,0,1,0,0,0
BRRW 49,essex,AR,279,0.86,0,0,1,1,1,1,1,0,0,0
BRRW 50,essex,AR,249,1.02,0,0,0,1,0,0,1,0,0,0
BRRW 51,essex,AR,382,1.32,0,0,0,1,0,0,0,0,0,1
BSAND 01,norfolk,NAT,284,0.7,1,1,1,0,1,1,0,0,0,0
BSAND 02,norfolk,NAT,288,0.71,1,1,1,1,0,1,1,0,0,0
BSAND 03,norfolk,NAT,228,0.68,0,0,0,0,1,1,1,0,0,0
BSAND 04,norfolk,NAT,300,0.68,1,0,0,0,0,0,1,0,0,0
BSAND 05,norfolk,NAT,383,0.78,0,1,1,1,1,1,0,0,0,0
BSAND 06,norfolk,NAT,284,0.68,0,1,1,0,0,1,0,1,0,0
BSAND 07,norfolk,NAT,309,0.89,0,1,1,1,0,1,0,0,1,0
BSAND 08,norfolk,NAT,304,0.95,0,0,1,1,0,1,1,0,1,0
BSAND 09,norfolk,NAT,190,0.99,0,1,1,1,0,1,1,0,1,0
BSAND 10,norfolk,NAT,224,1.14,0,0,0,1,0,0,0,0,1,1
BSAND 11,norfolk,NAT,279,0.93,0,1,1,1,1,1,1,0,0,0
BSAND 12,norfolk,NAT,317,0.94,0,1,1,0,0,1,1,0,0,0
BSAND 13,norfolk,NAT,197,1.02,0,1,1,0,0,1,1,0,0,0
BSAND 14,norfolk,NAT,256,0.99,0,1,0,1,0,1,1,0,1,0
BSAND 15,norfolk,NAT,269,0.96,0,0,1,0,0,1,1,0,0,0
FHOLME 1,humber,NAT,402,1.38,0,0,0,0,0,0,0,0,0,1
FHOLME 10,humber,NAT,194,0.61,1,0,0,0,0,0,0,0,0,0
FHOLME 11,humber,NAT,134,0.6,1,0,0,0,0,0,0,0,0,0
FHOLME 12,humber,NAT,94,0.58,1,0,0,0,0,0,0,0,0,0
FHOLME 13,humber,NAT,169,0.64,1,1,0,0,0,0,0,0,0,0
FHOLME 14,humber,NAT,164,0.63,1,0,0,0,0,0,1,0,0,0
FHOLME 15,humber,NAT,229,0.71,1,0,0,0,0,0,1,0,0,0
FHOLME 16,humber,NAT,391,1.12,0,0,0,0,0,0,0,0,0,1
FHOLME 17,humber,NAT,369,1.18,0,0,0,0,0,0,0,0,0,1
FHOLME 18,humber,NAT,314,1.16,0,0,0,0,0,0,0,1,0,0
FHOLME 19,humber,NAT,358,1.11,0,0,0,0,0,0,0,1,0,0
FHOLME 2,humber,NAT,414,1.12,0,0,0,0,0,0,0,0,0,1
FHOLME 20,humber,NAT,314,1.05,0,0,0,0,1,0,1,0,0,0
FHOLME 21,humber,NAT,404,1.09,0,0,0,0,0,0,0,0,0,1
FHOLME 22,humber,NAT,403,1.11,0,0,0,0,0,0,0,0,0,0
FHOLME 23,humber,NAT,369,0.96,0,0,0,0,0,0,1,0,0,0
FHOLME 24,humber,NAT,402,1.04,0,0,0,0,0,0,0,0,0,1
FHOLME 25,humber,NAT,404,1.06,0,0,0,0,0,0,0,0,0,1
FHOLME 26,humber,NAT,414,1.03,0,0,0,0,0,0,0,0,0,1
FHOLME 27,humber,NAT,414,1.07,0,0,0,0,0,0,0,0,0,1
FHOLME 28,humber,NAT,358,1.08,0,0,0,0,0,0,1,1,1,0
FHOLME 29,humber,NAT,369,1.07,0,0,0,0,0,0,1,1,1,0
FHOLME 3,humber,NAT,414,1.16,0,0,0,0,0,0,0,0,0,1
FHOLME 30,humber,NAT,328,1.05,0,1,0,0,0,0,0,1,1,0
FHOLME 31,humber,NAT,369,1.06,0,0,0,0,0,0,1,1,1,0
FHOLME 32,humber,NAT,339,1.09,0,0,0,0,0,0,1,1,1,0
FHOLME 33,humber,NAT,419,1.18,0,0,0,0,0,0,0,0,0,1
FHOLME 34,humber,NAT,382,0.73,0,0,0,1,1,0,1,0,0,0
FHOLME 35,humber,NAT,404,1.23,0,0,0,0,0,0,0,0,0,1
FHOLME 36,humber,NAT,282,0.64,0,1,0,0,1,0,0,0,0,0
FHOLME 37,humber,NAT,204,0.5,1,0,0,0,0,0,1,0,0,0
FHOLME 38,humber,NAT,219,0.55,1,0,0,0,0,0,0,0,0,0
FHOLME 39,humber,NAT,149,0.6,1,1,0,0,1,0,1,0,0,0
FHOLME 4,humber,NAT,424,1.1,0,0,0,0,0,0,0,0,0,1
FHOLME 40,humber,NAT,189,0.78,1,0,0,1,1,0,1,0,0,0
FHOLME 41,humber,NAT,405,1.18,0,0,0,0,0,0,0,0,0,1
FHOLME 42,humber,NAT,402,1.05,0,0,0,1,0,0,0,0,0,0
FHOLME 43,humber,NAT,381,1.09,0,0,0,0,0,0,0,0,0,1
FHOLME 44,humber,NAT,304,0.99,0,0,0,1,0,0,1,0,0,1
FHOLME 45,humber,NAT,349,1.1,0,0,0,0,0,0,0,1,1,0
FHOLME 46,humber,NAT,369,1.1,0,0,0,0,0,0,0,1,0,0
FHOLME 47,humber,NAT,260,1.08,0,0,0,0,1,0,1,1,1,0
FHOLME 48,humber,NAT,302,1.09,0,0,0,0,1,0,0,1,0,0
FHOLME 49,humber,NAT,469,1.11,0,0,0,0,0,0,0,0,0,1
FHOLME 5,humber,NAT,402,1.11,0,0,0,0,0,0,0,0,0,0
FHOLME 50,humber,NAT,315,1.09,0,0,0,0,0,0,1,0,0,0
FHOLME 6,humber,NAT,405,1.23,0,0,0,0,0,0,0,0,0,1
FHOLME 7,humber,NAT,427,1.28,0,0,0,0,0,0,0,0,0,1
FHOLME 8,humber,NAT,382,1.32,0,0,0,0,0,0,0,0,0,1
FHOLME 9,humber,NAT,306,0.7,1,0,0,0,0,0,1,0,0,0
FOULTON A1,essex,AR,269,1.18,1,1,1,0,1,0,1,1,0,0
FOULTON A10,essex,AR,239,0.75,0,0,1,0,1,1,1,0,0,0
FOULTON A11,essex,AR,139,0.9,1,0,1,1,1,0,1,0,0,0
FOULTON A12,essex,AR,229,0.79,0,1,0,0,0,1,1,0,0,0
FOULTON A13,essex,AR,159,0.75,0,1,0,1,1,1,1,1,0,0
FOULTON A14,essex,AR,269,0.8,0,1,1,1,0,1,1,1,0,0
FOULTON A15,essex,AR,258,0.82,0,1,1,1,1,0,1,0,0,0
FOULTON A16,essex,AR,291,0.82,0,0,1,1,1,0,0,0,0,0
FOULTON A17,essex,AR,282,0.94,0,1,1,1,1,0,1,0,0,0
FOULTON A18,essex,AR,203,0.85,0,1,1,0,1,0,1,1,0,0
FOULTON A19,essex,AR,303,0.79,0,1,1,1,1,1,1,0,0,0
FOULTON A2,essex,AR,291,0.73,0,0,1,1,0,0,1,0,0,0
FOULTON A20,essex,AR,148,0.81,0,1,0,1,1,1,1,0,0,0
FOULTON A21,essex,AR,302,0.79,0,1,0,1,1,1,1,0,0,0
FOULTON A22,essex,AR,233,0.81,1,1,0,0,1,1,1,1,0,0
FOULTON A23,essex,AR,179,0.76,1,1,0,0,0,1,1,0,0,0
FOULTON A24,essex,AR,301,0.57,0,0,1,1,0,0,1,0,0,0
FOULTON A25,essex,AR,368,0.69,0,0,1,1,0,0,1,0,0,0
FOULTON A26,essex,AR,292,0.69,0,0,1,1,1,0,1,0,0,0
FOULTON A27,essex,AR,358,0.82,0,0,0,1,1,0,1,0,0,0
FOULTON A28,essex,AR,328,0.94,0,0,1,1,0,0,1,0,0,0
FOULTON A29,essex,AR,392,0.74,0,0,0,1,0,0,0,0,0,0
FOULTON A3,essex,AR,203,0.64,0,1,1,0,0,0,1,0,0,0
FOULTON A30,essex,AR,249,0.8,0,0,1,1,1,0,1,0,0,0
FOULTON A31,essex,AR,249,0.7,0,0,1,1,0,1,1,0,0,0
FOULTON A32,essex,AR,269,0.75,0,0,1,1,1,0,1,0,0,0
FOULTON A33,essex,AR,291,0.83,0,0,0,1,1,0,1,0,0,0
FOULTON A34,essex,AR,301,0.7,0,0,1,1,0,1,1,1,0,0
FOULTON A35,essex,AR,304,0.82,0,0,1,1,0,0,0,0,0,0
FOULTON A36,essex,AR,204,0.38,0,1,1,0,1,0,0,0,0,0
FOULTON A37,essex,AR,328,0.64,0,0,1,1,0,0,1,0,0,0
FOULTON A38,essex,AR,314,0.63,0,0,1,1,0,0,1,0,0,0
FOULTON A39,essex,AR,279,0.72,0,0,1,1,0,0,1,0,0,0
FOULTON A4,essex,AR,204,0.75,0,1,1,0,1,1,1,0,0,0
FOULTON A40,essex,AR,303,0.62,0,0,1,1,0,0,1,0,0,0
FOULTON A41,essex,AR,279,0.77,0,0,1,1,0,0,1,0,0,0
FOULTON A42,essex,AR,314,0.73,0,0,1,1,1,0,1,0,0,0
FOULTON A43,essex,AR,272,0.76,0,0,1,1,1,0,1,0,0,0
FOULTON A44,essex,AR,339,0.74,0,0,0,1,0,0,1,0,0,0
FOULTON A45,essex,AR,260,0.75,0,0,1,1,0,1,1,0,0,0
FOULTON A46,essex,AR,258,0.8,0,0,1,1,1,1,1,0,0,0
FOULTON A47,essex,AR,296,0.75,0,0,0,1,0,0,1,0,0,0
FOULTON A48,essex,AR,302,0.74,0,0,1,1,1,0,1,0,0,0
FOULTON A49,essex,AR,249,0.76,0,0,1,1,1,0,1,0,0,0
FOULTON A5,essex,AR,258,0.76,0,1,1,1,1,0,1,0,0,0
FOULTON A50,essex,AR,249,0.76,0,0,0,1,0,0,1,0,0,0
FOULTON A6,essex,AR,314,0.64,0,0,1,1,0,0,1,0,0,0
FOULTON A7,essex,AR,305,0.7,1,0,0,1,1,0,1,0,0,0
FOULTON A8,essex,AR,204,0.74,0,1,1,0,0,1,1,0,0,0
FOULTON A9,essex,AR,199,0.77,1,0,1,1,0,0,1,0,0,0
FOULTON C1,essex,AR,269,0.95,0,1,1,0,0,0,1,0,0,0
FOULTON C10,essex,AR,344,0.79,0,0,0,1,1,0,1,0,0,0
FOULTON C11,essex,AR,402,1.54,0,0,0,1,0,0,0,0,0,1
FOULTON C12,essex,AR,391,1.11,0,0,0,1,0,0,0,0,0,1
FOULTON C13,essex,AR,414,0.84,0,0,1,1,0,0,0,0,0,1
FOULTON C14,essex,AR,203,0.84,0,1,0,1,1,1,1,0,0,0
FOULTON C15,essex,AR,179,0.73,0,1,1,1,1,1,1,0,0,0
FOULTON C16,essex,AR,329,0.74,0,0,1,1,1,0,1,0,0,0
FOULTON C17,essex,AR,358,0.73,1,0,1,1,0,0,1,0,0,0
FOULTON C18,essex,AR,336,0.73,0,0,0,1,1,0,1,0,0,0
FOULTON C19,essex,AR,344,0.72,0,0,1,1,1,0,1,0,0,0
FOULTON C2,essex,AR,249,0.76,0,0,1,1,1,0,1,0,0,0
FOULTON C20,essex,AR,369,0.67,0,0,0,1,1,0,1,0,0,0
FOULTON C21,essex,AR,269,0.79,0,0,1,1,1,1,1,0,0,0
FOULTON C22,essex,AR,359,0.97,0,0,1,1,0,0,0,0,0,1
FOULTON C23,essex,AR,369,1.09,0,0,0,1,0,1,0,0,1,1
FOULTON C24,essex,AR,291,0.91,0,1,1,1,0,1,1,0,0,0
FOULTON C25,essex,AR,292,0.82,0,0,1,1,1,0,1,0,0,0
FOULTON C26,essex,AR,324,0.69,0,0,1,1,1,1,1,0,0,0
FOULTON C27,essex,AR,358,0.77,0,0,1,1,1,0,1,0,0,0
FOULTON C28,essex,AR,302,0.73,0,0,1,1,1,0,1,0,0,0
FOULTON C29,essex,AR,305,0.81,0,0,1,1,1,0,1,0,0,0
FOULTON C3,essex,AR,249,0.84,0,0,1,1,1,0,1,0,0,0
FOULTON C30,essex,AR,324,0.73,1,1,0,0,0,1,1,0,0,0
FOULTON C31,essex,AR,302,0.73,0,1,1,1,1,1,1,0,0,0
FOULTON C32,essex,AR,314,0.69,0,0,0,1,1,1,1,0,0,0
FOULTON C33,essex,AR,334,0.76,0,0,0,1,1,0,1,0,0,0
