"","Sex","Age","Survival","Length","Wingspread","Weight","Skull_Length","Humerus_Length","Femur_Length","Tarsus_Length","Sternum_Length","Skull_Width"
"101","Female","Adult","Alive",157,245,24.9,32,19.1,18.8,30.1,20,15.1
"102","Female","Young","Alive",157,235,25.5,31.5,18.1,17.9,28.8,19.8,15.5
"103","Female","Adult","Alive",156,237,23.4,30.9,18,17.6,28.5,20.3,15.6
"104","Female","Adult","Alive",158,244,25.9,31.4,18.5,17.9,29.1,21.6,15.2
"105","Female","Adult","Alive",153,238,24.2,30.5,18.2,18,28.3,20.9,15.1
"106","Female","Adult","Alive",155,236,24.2,30.3,18.5,17.9,28.4,20.1,14.9
"107","Female","Adult","Alive",163,246,27.4,32.5,18.6,18.1,29.5,21.9,16
"108","Female","Adult","Alive",159,236,24,31.5,18,18.1,28.7,21.5,15.4
"109","Female","Adult","Dead",155,240,26.3,31.4,18,18,28.5,20.7,15.6
"110","Female","Adult","Dead",156,240,25.8,31.5,18.2,17.2,28.6,20.6,15.2
"111","Female","Adult","Dead",160,242,26,32.6,18.8,18.6,29.4,21.7,15.2
"112","Female","Young","Dead",152,232,23.2,30.3,17.2,17.3,26.6,19.8,15
"113","Female","Adult","Dead",160,250,26.5,31.7,18.8,18.6,30.1,22.5,15.6
"114","Female","Young","Dead",155,237,24.2,31,18.5,18.4,28.4,20,15.5
"115","Female","Young","Dead",157,245,26.9,32.2,19.5,19.1,31.2,21.4,15.7
"116","Female","Young","Dead",165,245,27.7,33.1,19.8,19.2,30.4,22,16.1
"117","Female","Young","Dead",153,231,23.9,30.1,17.3,16.8,26.5,19.8,15
"118","Female","Young","Dead",162,239,26.1,30.3,18,17.4,27.7,23.1,14.9
"119","Female","Young","Dead",162,243,24.6,31.6,18.8,18.5,29.5,21.3,15.4
"120","Female","Young","Dead",159,245,23.6,31.8,18.5,17.8,28.7,21.7,15.5
"121","Female","Young","Dead",159,247,26,30.9,18.1,16.9,27.9,19,14.7
"122","Female","Adult","Dead",155,243,25,30.9,18.5,18.1,28.6,21.3,15.2
"123","Female","Adult","Dead",162,252,24.8,31.9,19.1,18.7,30,22.2,15.6
"124","Female","Adult","Dead",152,230,22.8,30.4,17.3,16.9,26.5,18.6,14
"125","Female","Adult","Dead",159,242,24.8,30.8,18.2,16.9,27.7,20.5,14.6
"126","Female","Adult","Dead",155,238,24.6,31.2,17.9,17.8,28,19.3,14.9
"127","Female","Young","Dead",163,249,30.5,33.4,19.5,19.5,30.7,22.8,16.3
"128","Female","Young","Dead",163,242,24.8,31,18.1,18.1,28.7,20.7,15.4
"129","Female","Adult","Dead",156,237,23.9,31.7,18.2,18.2,27.7,20.3,15.5
"130","Female","Adult","Dead",159,238,24.7,31.5,18.4,17.8,29.1,20.3,15.2
"131","Female","Young","Dead",161,245,26.9,32.1,19.1,17.9,29,20.8,15.4
"132","Female","Adult","Dead",155,235,22.6,30.7,17.6,17.6,28.4,19.6,14.8
"133","Female","Adult","Dead",162,247,26.1,31.9,19.1,18.7,29.4,20.4,15.7
"134","Female","Young","Dead",153,237,24.8,30.6,18.6,18.2,29.8,20.4,15.1
"135","Female","Young","Dead",162,245,26.2,32.5,18.5,18.6,28,21.1,15.6
"136","Female","Young","Dead",164,248,26.1,32.3,18.8,18,29.4,20.9,15
