"","WS","body","log.mass","species"
"55",115.5411754964,51.4875710608,6.8091427367,"redtail"
"56",156.576040291,66.7433697484,7.2492477914,"vulture"
"57",79.7634941637,51.3462403323,5.8116910921,"coopers"
"58",198.4874919115,80.7928708937,8.4507730915,"eagle"
"59",102.7998511258,46.8167705954,6.008815129,"harrier"
"60",173.9497974656,53.8613728365,7.2807194868,"osprey"
"61",98.701096521,44.7532094571,6.828017125,"peregrine"
"62",132.8593979696,58.7022943859,7.0326483114,"redtail"
"63",156.6346084671,65.5285556169,7.2065463473,"vulture"
"64",78.5101603761,47.7326060501,5.8118124421,"coopers"
"65",196.2201937567,82.4674555378,8.3761933006,"eagle"
"66",98.8863371173,45.179898829,5.9857497235,"harrier"
"67",176.6951671474,54.6650445192,7.2252688243,"osprey"
"68",97.8871479561,42.8277267704,6.8179094364,"peregrine"
"69",123.0248104209,55.1181626,6.9228999033,"redtail"
"70",157.1344822606,67.6034073417,7.2278444647,"vulture"
"71",79.9873453797,47.2269623539,5.7918975089,"coopers"
"72",211.638260171,88.2429358248,8.5749687795,"eagle"
"73",115.2836632983,52.4215543609,6.1064817415,"harrier"
"74",180.9536248045,56.0698095723,7.2870461177,"osprey"
"75",100.4231502076,46.5767317106,6.9119962089,"peregrine"
"76",124.69016646,55.3952428425,6.9104749486,"redtail"
"77",147.1538260827,63.6062072395,7.1654707737,"vulture"
"78",73.6205242802,44.396255818,5.6767301592,"coopers"
"79",218.9925704267,89.7369979516,8.5747731903,"eagle"
"80",113.2724760345,51.9140333166,6.1601087754,"harrier"
"81",172.5829168425,55.083418375,7.2488305948,"osprey"
"82",98.085291762,44.944516604,6.8433776281,"peregrine"
"83",119.8061065195,51.8067536231,6.8186347883,"redtail"
"84",180.4587409836,75.8594448962,7.4316782408,"vulture"
"85",72.3001762417,43.9015052133,5.6820461843,"coopers"
"86",201.9040934383,78.1783326086,8.3546055967,"eagle"
"87",108.4768699025,49.1994661498,6.0545591696,"harrier"
"88",179.0634658723,54.5941365367,7.2781017215,"osprey"
"89",109.2517619001,48.6771115953,6.9431198334,"peregrine"
"90",113.3239513719,49.6202773754,6.7718433219,"redtail"
"91",167.6932367386,69.1087002772,7.2949391081,"vulture"
"92",77.5296802652,47.0440849913,5.779337589,"coopers"
"93",226.8316008496,90.1572431406,8.5734926493,"eagle"
"94",109.4026117276,53.0890140754,6.122370193,"harrier"
"95",190.9733662554,59.9604289896,7.3687906236,"osprey"
"96",95.5412125839,46.096877605,6.8872626418,"peregrine"
"97",122.6545951502,52.9666686648,6.8979863657,"redtail"
"98",166.5076041986,72.3290475508,7.33123767,"vulture"
"99",75.9301916363,44.7179626346,5.7534588848,"coopers"
"100",209.193839794,86.9594834949,8.4843814783,"eagle"
"101",102.7711799027,48.0193978556,5.9921118403,"harrier"
"102",181.0337250492,56.7662144072,7.3781241166,"osprey"
"103",100.9608541761,45.3116807316,6.9022118395,"peregrine"
"104",119.462644822,52.2485051222,6.8416336974,"redtail"
"105",171.925207993,73.0698246897,7.3438728188,"vulture"
"106",76.0272889338,45.6601427214,5.736978029,"coopers"
"107",205.548610251,87.3782586868,8.5400924824,"eagle"
"108",108.5697067621,51.0442098579,6.144713414,"harrier"
"109",180.5348333577,55.7340511679,7.2990210308,"osprey"
"110",105.2563262697,48.9043237188,6.9358802267,"peregrine"
"111",122.9433034318,57.1319752184,6.9470813878,"redtail"
"112",164.1105409209,71.2115905479,7.3161038507,"vulture"
"113",76.4172523923,46.4426999323,5.7767361637,"coopers"
"114",210.8728223003,82.3372378476,8.4655526081,"eagle"
"115",102.0222888993,47.2716283599,6.0329577289,"harrier"
"116",169.7482403629,53.0357814855,7.1974644767,"osprey"
"117",95.7023018581,45.8276683225,6.8713609182,"peregrine"
"118",114.8465924746,51.7733754924,6.8312691548,"redtail"
"119",175.9468137078,71.3098202973,7.3631025095,"vulture"
"120",79.1889331402,47.2822203479,5.7945223681,"coopers"
"121",195.6825862819,81.7981278644,8.4447034566,"eagle"
"122",115.7593339667,55.0008315977,6.1766240078,"harrier"
"123",185.4183303601,56.9441286244,7.3600080179,"osprey"
"124",94.2003392937,45.1604757711,6.8532738605,"peregrine"
"125",123.3905945364,55.5874673463,6.9694232287,"redtail"
"126",176.1820978905,74.536790331,7.340244181,"vulture"
"127",74.7698731179,44.3978789762,5.7111125901,"coopers"
"128",190.1337706905,78.4735773933,8.3665512729,"eagle"
"129",103.9876821125,49.551471344,6.071533044,"harrier"
"130",200.8026147604,61.2117684608,7.5168991873,"osprey"
"131",102.2105239278,47.326254961,6.9119632917,"peregrine"
"132",121.6564497419,54.7652806559,6.8845819932,"redtail"
"133",177.7964648969,76.8062470169,7.394253475,"vulture"
"134",77.7456001697,47.6210527254,5.766286493,"coopers"
"135",198.4041263426,81.4624617318,8.4453855319,"eagle"
"136",116.7664370665,53.3311893256,6.1618635783,"harrier"
"137",179.8519407709,55.1815293267,7.3090569045,"osprey"
"138",97.2534589248,45.428066884,6.8791984295,"peregrine"
"139",115.1516104685,51.2007872935,6.7976373781,"redtail"
"140",167.8607954531,69.4260754623,7.2826111795,"vulture"
"141",72.7986038441,45.240575405,5.6926410745,"coopers"
"142",212.743614624,86.3358649799,8.5802099202,"eagle"
"143",108.4653742145,51.8325010256,6.0992642997,"harrier"
"144",195.6117973649,61.6563225994,7.4388273552,"osprey"
"145",102.2739650536,46.7327530148,6.8835008026,"peregrine"
"146",111.5376530025,49.6003593878,6.7540173911,"redtail"
"147",156.5097496568,67.5840113167,7.2168479072,"vulture"
"148",73.6790425465,44.1738003376,5.6966935164,"coopers"
"149",214.6520391948,87.5842011362,8.6003400618,"eagle"
"150",103.375380683,48.5630158975,6.0581395531,"harrier"
"151",174.1103964427,54.5669726153,7.2929305546,"osprey"
"152",98.5085395439,46.0424308732,6.788292847,"peregrine"
"153",129.7858442116,55.7524714043,6.9191145255,"redtail"
"154",169.2768604308,72.6430397208,7.3699427964,"vulture"
"155",74.3259397401,42.4544006838,5.7375236685,"coopers"
"156",234.7762392045,91.4153952504,8.6370234285,"eagle"
"157",111.0533331956,51.3653878908,6.088877914,"harrier"
"158",192.8082144987,60.1796971524,7.4612737458,"osprey"
"159",101.6176982787,47.3560140832,6.9037383757,"peregrine"
"160",123.0888313241,54.2808666933,6.9201649183,"redtail"
"161",173.1118164012,69.0476899538,7.3284582853,"vulture"
"162",69.7481512664,42.2163921768,5.6811101855,"coopers"
"163",197.6617572666,79.4455744685,8.389044403,"eagle"
"164",106.0146689518,49.1468046985,6.0607023096,"harrier"
"165",179.8815875515,54.3197300124,7.3166650241,"osprey"
"166",104.6478116958,50.0743559849,6.959292633,"peregrine"
"167",128.1004477348,55.1600111026,6.9318954618,"redtail"
"168",167.2968261018,67.6919331222,7.3316838067,"vulture"
"169",72.6537495055,44.7593865251,5.7065335472,"coopers"
"170",202.2023036239,84.5051176931,8.4581215,"eagle"
"171",118.2625003057,54.5795547654,6.2228403122,"harrier"
"172",183.0111249994,56.8898827058,7.3439316216,"osprey"
"173",100.5224342452,46.490124822,6.8712949065,"peregrine"
"174",130.4967533754,57.7552671136,6.9811941689,"redtail"
"175",178.4468665575,73.9199888408,7.3486649943,"vulture"
"176",73.6326262154,45.600573082,5.7296464765,"coopers"
"177",193.3273606677,80.7341694076,8.4177358336,"eagle"
"178",112.6243204911,52.6133729192,6.158538254,"harrier"
"179",174.3450459235,55.3192433796,7.2704104621,"osprey"
"180",95.6583675991,44.2291220282,6.8291630793,"peregrine"
"181",138.1298915972,61.9856705862,7.0784618351,"redtail"
"182",176.1651365944,74.1306527875,7.4197229019,"vulture"
"183",79.2993273908,48.1954185635,5.8295506719,"coopers"
"184",208.6790488214,84.6194788432,8.4448084876,"eagle"
"185",109.582757332,51.7957256728,6.0731493983,"harrier"
"186",181.8483174716,57.3507146646,7.3455916096,"osprey"
"187",91.9011837021,42.9552705454,6.7950771091,"peregrine"
"188",128.7869361572,55.7087472221,6.9136585581,"redtail"
"189",173.2471836479,72.4642201749,7.378098595,"vulture"
"190",72.1135667356,43.8443172169,5.7454924861,"coopers"
"191",206.82240049,82.0325642181,8.4928438845,"eagle"
"192",112.5177309791,52.2684933388,6.1730364933,"harrier"
"193",167.0358321039,52.192146323,7.1735225425,"osprey"
"194",90.23716313,41.8564344255,6.719976344,"peregrine"
"195",120.2519543556,54.4129809272,6.8615210915,"redtail"
"196",173.5641237636,73.7649140924,7.3663954789,"vulture"
"197",74.6585507869,45.6755677435,5.723493532,"coopers"
"198",202.383116052,83.9109582605,8.4694862423,"eagle"
"199",115.0026200168,52.0969789716,6.1725859695,"harrier"
"200",166.9132481291,51.6871911362,7.2022214862,"osprey"
"201",108.2334826855,48.0130188096,6.9774248753,"peregrine"
"202",124.6663910017,53.9736947721,6.9249407637,"redtail"
"203",182.1186380961,72.5697039973,7.4659545331,"vulture"
"204",76.5489734213,46.9714458345,5.7589052034,"coopers"
"205",209.1593742436,85.7079181068,8.5362353836,"eagle"
"206",110.4177717494,51.9764578872,6.1181248987,"harrier"
"207",179.8616277544,55.9966788623,7.2888315339,"osprey"
"208",95.7278021088,43.624601193,6.8290432353,"peregrine"
"209",122.3162997304,53.975091798,6.8798091165,"redtail"
"210",168.3087970505,69.7046508384,7.3548292873,"vulture"
"211",77.8830257336,45.9293845164,5.8032093256,"coopers"
"212",216.2389123008,87.2607632359,8.5600260988,"eagle"
"213",107.3631746186,51.7572622902,6.0942938001,"harrier"
"214",184.6233052072,55.3826452029,7.3210301642,"osprey"
"215",103.0084307468,47.4163508632,6.9270735036,"peregrine"
"216",120.108681573,55.7268192625,6.9431487195,"redtail"
"217",163.5366106833,69.7320912522,7.3340475248,"vulture"
"218",84.4074106675,53.652500464,5.9288290421,"coopers"
"219",221.707512701,90.708798378,8.5519587985,"eagle"
"220",103.198823688,47.2683932727,5.9921807015,"harrier"
"221",182.4968538551,55.9613597842,7.3048264006,"osprey"
"222",97.4672280659,44.7994647231,6.9055948048,"peregrine"
"223",126.4545871982,56.3379160816,6.9492247933,"redtail"
"224",176.5285564222,75.5225211869,7.3901064027,"vulture"
"225",76.4217187286,46.8448447285,5.8253256193,"coopers"
"226",204.1699126171,85.2962773271,8.4887679756,"eagle"
"227",111.8810205036,51.6906085893,6.1862039789,"harrier"
"228",187.2497010391,56.7385122982,7.3406051116,"osprey"
"229",105.1016094168,48.4245829534,6.948221399,"peregrine"
"230",124.2947786076,52.4898742199,6.8910306556,"redtail"
"231",174.0288160329,73.8887864277,7.381232877,"vulture"
"232",76.9448773864,47.6649641627,5.7709720541,"coopers"
"233",209.7393648902,84.7329807471,8.5249190403,"eagle"
"234",100.4262713027,47.3198801163,6.0165632957,"harrier"
"235",189.2832017231,57.8040626209,7.3766506162,"osprey"
"236",106.8352667864,48.2232776083,6.9020678852,"peregrine"
"237",125.9816568955,54.3717117837,6.9194032917,"redtail"
"238",180.8776078046,75.013277713,7.4012787564,"vulture"
"239",73.5609454484,46.6986547313,5.7462135909,"coopers"
"240",211.9997979294,84.6707755969,8.5392799175,"eagle"
"241",96.224991359,44.1588613168,5.9440995309,"harrier"
"242",173.5348795651,52.5810433462,7.2316160816,"osprey"
"243",98.5454039111,46.4495887005,6.8740271206,"peregrine"
"244",131.5992217802,57.9254326566,7.0100882763,"redtail"
"245",173.930651337,75.9468637065,7.3547056874,"vulture"
"246",79.4196410488,48.0455517822,5.7730168178,"coopers"
"247",223.439015578,90.3198790596,8.6243654188,"eagle"
"248",101.6228015283,47.777286784,5.9905101411,"harrier"
"249",187.0708529572,57.4062740331,7.3967014603,"osprey"
"250",104.0296703095,46.8178481181,6.8925862602,"peregrine"
"251",135.0934423905,59.0796087968,6.9941534516,"redtail"
"252",160.4922376201,66.1689117206,7.2530345274,"vulture"
