sex,age,survival,total length,alar extent,weight,skull width,len beak head,humerus,femur,tibiotarsus,len keel
m,a,alive,166,253,26.7,0.6,32.5,0.77,0.77,1.23,0.88
m,a,dead,158,247,26,0.61,32,0.73,0.71,1.15,0.8
m,a,alive,159,247,23.9,0.6,31.4,0.75,0.72,1.11,0.83
m,a,alive,160,248,24.7,0.6,31.3,0.75,0.74,1.18,0.8
m,a,dead,162,253,28.3,0.61,31.8,0.75,0.72,1.15,0.86
m,a,dead,156,239,24.6,0.57,30.5,0.66,0.66,1.04,0.81
m,a,alive,161,252,28,0.59,31.8,0.77,0.73,1.19,0.89
m,a,alive,163,251,27.9,0.62,31.9,0.77,0.75,1.17,0.86
m,a,dead,166,251,27.5,0.61,31.5,0.72,0.69,1.12,0.85
m,a,alive,156,242,25.9,0.61,32,0.72,0.71,1.12,0.89
m,a,dead,165,253,31,0.61,32.4,0.77,0.75,1.18,0.91
m,a,alive,165,251,25.7,0.61,32.2,0.75,0.74,1.16,0.87
m,a,dead,166,250,28.3,0.61,32.4,0.75,0.72,1.18,0.92
m,a,alive,160,247,26.6,0.59,32.4,0.73,0.71,1.11,0.84
m,y,dead,160,249,24.2,0.62,30.4,0.74,0.72,1.13,0.84
m,a,alive,158,244,23.2,0.59,31.6,0.73,0.71,1.14,0.89
m,y,dead,156,236,26.8,0.56,30.2,0.69,0.67,1.07,0.83
m,a,alive,160,242,25.7,0.62,31.6,0.71,0.71,1.12,0.79
m,y,dead,158,240,23.5,0.6,31,0.72,0.7,1.11,0.81
m,a,alive,157,245,26.3,0.6,32.2,0.74,0.73,1.14,0.85
m,y,dead,166,245,26.9,0.6,31.7,0.72,0.7,1.11,0.85
m,a,alive,159,244,24.3,0.62,31.5,0.72,0.7,1.11,0.85
m,y,dead,165,255,28.6,0.61,31.5,0.71,0.74,1.18,0.85
m,a,alive,160,253,26.7,0.59,32.1,0.74,0.71,1.12,0.86
m,y,dead,157,238,24.7,0.6,31.2,0.68,0.68,1.16,0.77
m,a,alive,158,245,24.9,0.58,31.4,0.73,0.7,1.12,0.85
m,y,dead,164,250,27.3,0.59,31.8,0.76,0.73,1.17,0.86
m,a,alive,161,247,23.8,0.6,31.4,0.74,0.69,1.1,0.79
m,y,dead,166,256,25.7,0.6,31.7,0.75,0.75,1.19,0.86
m,a,alive,160,247,25.6,0.61,32.3,0.76,0.75,1.14,0.9
m,y,dead,167,255,29,0.64,32.2,0.77,0.75,1.2,0.86
m,a,alive,160,247,27,0.63,32,0.76,0.74,1.17,0.87
m,y,dead,161,246,25,0.59,31.5,0.74,0.71,1.12,0.85
m,a,alive,153,241,24.7,0.59,32.2,0.73,0.68,1.09,0.88
m,y,dead,166,254,27.5,0.6,31.4,0.76,0.74,1.12,0.91
m,y,alive,156,246,24.6,0.59,32,0.74,0.74,1.17,0.85
m,y,dead,161,251,26,0.59,31.5,0.73,0.71,1.12,0.83
f,,dead,155,240,26.3,0.61,31.4,0.71,0.71,1.13,0.82
m,y,alive,156,245,25.5,0.62,32.1,0.76,0.72,1.15,0.82
f,,dead,156,240,25.8,0.6,31.5,0.72,0.68,1.13,0.81
m,y,alive,163,248,24.8,0.61,32.2,0.74,0.73,1.17,0.85
f,,dead,160,242,26,0.6,32.6,0.74,0.73,1.16,0.85
m,y,alive,163,248,26.3,0.61,33,0.74,0.7,1.15,0.84
f,,dead,152,232,23.2,0.59,30.3,0.68,0.68,1.05,0.78
m,y,alive,160,250,24.4,0.6,31.5,0.75,0.72,1.17,0.89
f,,dead,160,250,26.5,0.62,31.7,0.74,0.73,1.19,0.89
m,y,alive,145,237,23.3,0.59,30.6,0.69,0.66,1.01,0.77
f,,dead,155,237,24.2,0.61,31,0.73,0.72,1.12,0.79
m,y,alive,162,253,26.7,0.63,32,0.76,0.73,1.2,0.88
f,,dead,157,245,26.9,0.62,32.2,0.77,0.75,1.23,0.84
m,y,alive,163,254,26.4,0.61,32,0.77,0.75,1.17,0.89
f,,dead,165,245,27.7,0.63,33.1,0.78,0.76,1.2,0.9
m,y,alive,164,251,26.9,0.62,32,0.76,0.74,1.17,0.89
f,,dead,153,231,23.9,0.59,30.1,0.68,0.66,1.04,0.78
m,y,alive,163,244,24.3,0.61,31.3,0.72,0.68,1.08,0.89
f,,dead,162,239,26.1,0.59,30.3,0.71,0.69,1.09,0.91
m,y,alive,160,247,27,0.62,31.5,0.76,0.73,1.18,0.85
f,,dead,162,243,24.6,0.61,31.6,0.74,0.73,1.16,0.84
m,y,alive,160,250,26.8,0.64,32.5,0.76,0.73,1.12,0.84
f,,dead,159,245,23.6,0.61,31.8,0.73,0.7,1.13,0.86
m,y,alive,158,247,24.9,0.59,32.4,0.75,0.72,1.14,0.87
f,,dead,159,247,26,0.58,30.9,0.71,0.67,1.1,0.75
m,y,alive,158,249,26.1,0.6,32.2,0.74,0.74,1.15,0.82
f,,dead,155,243,25,0.6,30.9,0.73,0.71,1.13,0.84
m,y,alive,158,243,26.6,0.61,32.4,0.75,0.71,1.16,0.89
f,,dead,162,252,24.8,0.62,31.9,0.75,0.74,1.18,0.88
m,y,alive,155,237,23.3,0.59,30.2,0.69,0.65,1.01,0.79
f,,dead,152,230,22.8,0.55,30.4,0.68,0.66,1.04,0.73
f,,alive,156,245,25.3,0.62,31.6,0.73,0.71,1.15,0.81
f,,alive,154,240,22.6,0.58,30.4,0.71,0.69,1.1,0.77
f,,dead,159,242,24.8,0.58,30.8,0.72,0.67,1.09,0.81
f,,alive,153,240,25.1,0.59,31,0.72,0.71,1.12,0.81
f,,dead,155,238,24.6,0.59,31.2,0.71,0.7,1.1,0.76
f,,alive,153,236,23.2,0.6,30.9,0.7,0.68,1.13,0.8
f,,dead,163,249,30.5,0.64,33.4,0.77,0.77,1.21,0.9
f,,alive,155,243,24.4,0.6,31.5,0.73,0.74,1.17,0.8
f,,dead,163,242,24.8,0.61,31,0.71,0.71,1.13,0.81
f,,dead,156,237,23.9,0.61,31.7,0.72,0.72,1.09,0.8
f,,alive,163,247,25.1,0.6,32,0.75,0.73,1.17,0.82
f,,alive,157,238,24.6,0.59,30.9,0.73,0.73,1.18,0.8
f,,dead,159,238,24.7,0.6,31.5,0.73,0.7,1.15,0.8
f,,alive,155,239,24,0.6,32.8,0.73,0.74,1.18,0.84
f,,dead,161,245,26.9,0.61,32.1,0.75,0.7,1.14,0.82
f,,dead,155,235,22.6,0.58,30.7,0.7,0.69,1.12,0.77
f,,alive,164,248,24.2,0.6,32.7,0.75,0.75,1.2,0.83
f,,alive,158,238,24.9,0.59,31,0.74,0.69,1.09,0.87
f,,dead,162,247,26.1,0.62,31.9,0.75,0.74,1.16,0.8
f,,dead,153,237,24.8,0.59,30.6,0.73,0.72,1.17,0.8
f,,alive,158,240,24.1,0.59,31.3,0.73,0.71,1.11,0.87
f,,alive,160,244,24,0.59,31.1,0.73,0.73,1.15,0.81
f,,dead,162,245,26.2,0.61,32.5,0.73,0.73,1.1,0.83
f,,alive,161,246,26,0.62,32.3,0.76,0.73,1.15,0.86
f,,dead,164,248,26.1,0.59,32.3,0.74,0.71,1.16,0.82
f,,alive,157,245,24.9,0.59,32,0.75,0.74,1.19,0.79
f,,alive,157,235,25.5,0.61,31.5,0.71,0.7,1.13,0.78
f,,alive,156,237,23.4,0.61,30.9,0.71,0.69,1.12,0.8
f,,alive,158,244,25.9,0.6,31.4,0.73,0.71,1.15,0.85
f,,alive,153,238,24.2,0.6,30.5,0.72,0.71,1.12,0.82
f,,alive,155,236,24.2,0.59,30.3,0.73,0.71,1.12,0.79
f,,alive,163,246,27.4,0.63,32.5,0.73,0.71,1.16,0.86
f,,alive,159,236,24,0.61,31.5,0.71,0.71,1.13,0.85
